"District Name in Englsih","Akshaya /CSC Name","Akshaya/CSC Name & Address"
Alappuzha,"Eramalloor Junction","Eramalloor Junction - akshaya e centreeramalloor jn.ezhupunna gpalappuzha dist."
Alappuzha,Eramathoor,"Eramathoor - akshaya e centre,eramattoormannar gpalappuzha"
Alappuzha,"Erikavu SCB No 1449","Erikavu Scb No 1449 - akshaya e centre, erickavu, p k m building, ambalappuzha west gate, ambalappuzha p.o, pin-688561"
Alappuzha,"E.S.I Ward","E.S.I Ward - veliyil house, vadackal. thiruvampady p.o, alappuzha-688002"
Alappuzha,"Evoor Panachamood","Evoor Panachamood - padmasadanam, evoor north, cheppad, alappuzha distpin-690507"
Alappuzha,"F.C. Convent Region","F.C. Convent Region - edattu madomh ezhupunna south p.o. cherthala alpy"
Alappuzha,G.H.S,"G.H.S - akshaya ghs centrevijnan bharathi, nss union buildingac road ,cherthalapin-688524"
Alappuzha,"Govt. H.S.S. Budhanoor","Govt. H.S.S. Budhanoor - akshaya e centre , govt. h.s.s. budhanoor, budhanoor panchayath, chengannur, alappuzha dist."
Alappuzha,"High School Jun Muthululam","High School Jun Muthululam - akshaya centre, high school jn, muthukulam south po, alappuzha : 690506"
Alappuzha,"I.T.C Junction","I.T.C Junction - charangattu house, arthungal p.o, cherthala south"
Alappuzha,Janakshemam,"Janakshemam - akshaya e centre opposite thrishna collegejanakshemammararikulam beach jn. alappuzha"
Alappuzha,Jankarkadavu,"Jankarkadavu - akshaya e centre, sarath vihar, jankarkadavu jn., perumpally, valiyazheekal p.o., pin-690535"
Alappuzha,J.B.School,"J.B.School - suvarna, punnapra p.o, alpy 688 004"
Alappuzha,Kaithathil,"Kaithathil - valayanchira, komalapuram, south aryad, alappuzha 6"
Alappuzha,Kaithavana,"Kaithavana - anand vihar ,kaithavana, sanathanapuram p.o., alpy 688003"
Alappuzha,Kakkazham,"Kakkazham - akshaya e-center, k m h building, kakkazham, ambalappuzha, pin - 688005, alappuzha"
Alappuzha,"Kakkazham Blocked Centre","Kakkazham Blocked Centre - kannimel konil neerkunnam vandanam.p.o alappuzha"
Alappuzha,"Kalavamkodam/ N.H Jun","Kalavamkodam/ N.H Jun - karuvelil house, pattanakkad p.o., cherthala, alpy 688531"
Alappuzha,Kallappuram,"Kallappuram - akshaya e centre, sanmarga sandayini vayanasala, kallapuram-688525"
Alappuzha,"Kallappuram Blocked Center","Kallappuram Blocked Center - kollasheri muhamma.p.o muhamma"
Alappuzha,Kallayathara,"Kallayathara - ambalathu vadakkethil venmoney p.o., chengannur 689 509"
Alappuzha,Kallissery,"Kallissery - kuriackal house kallissery.p.o. chengannur 689124"
Alappuzha,"Kalloorkkadu Church","Kalloorkkadu Church - jayavihar nadubhagam champakulam p.o champakulam-688505"
Alappuzha,Kanakakunnu,"Kanakakunnu - akshaya e-ccentre, kanakakunnu p.o, muthukulam south, pin- 690506, alappuzha"
Alappuzha,"Kanakakunnu Blocked Centre","Kanakakunnu Blocked Centre - devisadanam kandalloor north pattoli market p.o alappuzha"
Alappuzha,"Kandiyoor Jn","Kandiyoor Jn - peroor house, vazhuvadi, thazhakkara.p.o, mavalikkara."
Alappuzha,"Kanjipuzha Pallimukku/Kambisserry mukku","Kanjipuzha Pallimukku/Kambisserry Mukku - nasi manzil, thekkemuri, vallikunnam p.o, alpy"
Alappuzha,Kannukalipalam,"Kannukalipalam - parambil house, karoorambalappuzha 688561"
Alappuzha,"Kappilkuttipuram Jn","Kappilkuttipuram Jn - akshaya e-centre, thomson complex, kappilkuttippuram, kappil east, krishnapuram p.o, pin-690 533, alappuzha"
Alappuzha,"Kappilkuttipuram Jn Blocked Centre","Kappilkuttipuram Jn Blocked Centre - akshaya ecentre kappil kuttipuram kappil east alappuzha dist."
Alappuzha,"Karakkad Jn","Karakkad Jn - kaleekkal kizhakkethil, areekara p.o, chengannur, alappuzha"
Alappuzha,Karalakam,"Karalakam - karalakam akshaya centre, mamoodu jn. avalookunnu p.o., alappuzha-688006"
Alappuzha,"Karalakam Blocked Centre","Karalakam Blocked Centre - preethy nivas kottamkulangara ward avalookkunnu p.o. alpy"
Alappuzha,Kareelakulangara,"Kareelakulangara - prakash bhavan karuvattomkuzhi kareelakulangara.p.o"
Alappuzha,Karippeedika,"Karippeedika - akshaya e centrekarippeedikakaruvattaalappuzha dist."
Alappuzha,"Karumady Junction","Karumady Junction - meloor annex, karumady, ambalappuzha"
Alappuzha,Karuvayi,"Karuvayi - akshaya e centrekaruvayicherthala municipalityalappuzha dist."
Alappuzha,Kattanam,"Kattanam - akshaya e centre, kattanam, bharanikavu panchayath, alappuzha dist."
Alappuzha,"Kattil Market","Kattil Market - akshaya centre"
Alappuzha,Kattur,"Kattur - konil house marankulangara kalavoor 688522"
Alappuzha,"Kavalam SBT Jn","Kavalam Sbt Jn - kalathil bldgkavalam valiya p.o ,alappuzha pin-688 506"
Alappuzha,Kavunkal,"Kavunkal - akshaya e centre, near kavunkal temple, mananchery-688538"
Alappuzha,"Kavunkal Blocked Centr","Kavunkal Blocked Centr - moonanjilickal sl.puram po alappuzha"
Alappuzha,"Keltron Jn","Keltron Jn - akshaya e-centre, keltron jn aroor, pattanakkad"
Alappuzha,Kidangara,"Kidangara - akshaya e centrekidangaraveliyanadu panchayathalappuzha dist."
Alappuzha,Kochuveettilmukku,"Kochuveettilmukku - akshaya e centremy market buildingkochuveettilmukkudevikulangara"
Alappuzha,"Kodukulanji C.S.I. Church Jn","Kodukulanji C.S.I. Church Jn - secretary, suvartha charitable trust, panakara bldg, venmoney"
Alappuzha,Kollakadavu,"Kollakadavu - nadavalil, venmony p.o, chengannur"
Alappuzha,Kombanamuri,"Kombanamuri - saraswathy mandiram, aroor p.o, cherthala - 688534"
Alappuzha,Kommady,"Kommady - jayanivas kommady alleppy north po 688007"
Alappuzha,"Kondakkal Church","Kondakkal Church - akshaya e centrekottaram police stationnedumudy, kottaram"
Alappuzha,"Kondakkal Church","Kondakkal Church - kudackattu madom, nedumudy.p.o, alappuzha"
Alappuzha,Kootuveli,"Kootuveli - prasanthi, cheruvaranam, varanam p.o, kanjikkuzhi 688 555"
Alappuzha,Kottaikakam,"Kottaikakam - thundil thekkathil pallippad.p.o harippad"
Alappuzha,Kottamukku,"Kottamukku - manapurath, charumoodu.p.o, charumoodu"
Alappuzha,"Kottamuri Jn","Kottamuri Jn - pulithanathu jayamandiram chennithala.p.o"
Alappuzha,"Kottaram Jn","Kottaram Jn - shaji vihar, kadakkarappally p.o. cherthala,alpy."
Alappuzha,Kottukulangara,"Kottukulangara - kavinte vadakkathil, krishnapuram, krishnapuram p.o, muthukulam, pin-690533"
Alappuzha,"Koyikal Chanda","Koyikal Chanda - murukalayam, vetticode p.o, vetticode"
Alappuzha,Koyilmukku,"Koyilmukku - thypparampil house thayamkary edathuva"
Alappuzha,Koyipallikarazhma,"Koyipallikarazhma - kannankara house, koippallykkarazhama, olakettiyambalalm p.o, kayamkulam 690 510"
Alappuzha,"Kunnam Jn","Kunnam Jn - awakkaruparambil, kollakadavu, kollakadavu p.o, cheriyanadu, chengannur, pin-690509"
Alappuzha,Kuppappuram,"Kuppappuram - akshaya e centre , kuppappuram, kainakary gp alappuzha dist."
Alappuzha,Kurathikadu,"Kurathikadu - ajini nivas, choorallur, thekkekkara p.o., mavelikkara"
Alappuzha,Kuruvikadu,"Kuruvikadu - panayara house, pullampada, pallippad p.o, haripad pin - 690512"
Alappuzha,Kuthirapanthy,"Kuthirapanthy - paruthippali house, mullathu valappu, mullathu ward. thiruvampady p.o., alpy 688002"
Alappuzha,"Kuthiyathode Jn. (District Co opertaive Bank)","Kuthiyathode Jn. (District Co Opertaive Bank) - pavithram , kodamthuruthu, kuthiyathode p.o., cherthala, alpy 688 533"
Alappuzha,Kuttamangalam,"Kuttamangalam - moolechrry, mundakom, kuttamangalam.p.o, kainakary 688 501"
Alappuzha,"Kuttamperoor Jn","Kuttamperoor Jn - akshaya e centre , kuttamperoor, near mannar village office, mannar"
Alappuzha,"KVM Junction","Kvm Junction - akshaya e centre, west of kvm hospital, kvm junction, cherthala, alappuzha dist - 688524"
Alappuzha,"Leprasy Junction","Leprasy Junction - akshaya e centre, lepracy jn., kalavoor"
Alappuzha,Loothar,"Loothar - akshaya e centre, kanjikuzhy, sl puram p.o, near kanjikuzhy-688582"
Alappuzha,"Loothar Blocked Center","Loothar Blocked Center - kulangaraveli s.l.puram.p.o alpy"
Alappuzha,"Madampil Jn","Madampil Jn - akshaya e-centrekunninte vadakkathilkandalloor south p.okayamkulam - 690535"
Alappuzha,"Madathumpadi Jun Puliyoor west Gate","Madathumpadi Jun Puliyoor West Gate - krishnasanthiyil,perissery p.o, puliyoor, chengannur, pin - 689126"
Alappuzha,"Madavana Jn","Madavana Jn - kulangarakonathu building, near svhs pandanad, mithramadom junction pandanad p.o., chengannur alappuzha district"
Alappuzha,"Mahavishnu Temple Premises Thiruvanvandoor","Mahavishnu Temple Premises Thiruvanvandoor - valiyaparambil surabhithiruvanvandoor p.ochengannur-689109"
Alappuzha,MalamelChanda,"Malamelchanda - kodanavalayil, puthenchanda p.o, vallikunnam, alpy 690 501"
Alappuzha,"Mangalapuram Blocked Centre","Mangalapuram Blocked Centre - akshaya e centremangalapurammannancheryalappuzha dist."
Alappuzha,Mankombu,"Mankombu - madathara house, kannadi east, pulinkunnu.p.o"
Alappuzha,"Mankombu 1","Mankombu 1 - rama nivas no. kidangara.p.o veliyanad"
Alappuzha,Mannanchery,"Mannanchery - viswa bhavanam, pnnadu p.o, alpy 688 538"
Alappuzha,Mannarasala,"Mannarasala - thuruthanethu house, muthukulam north, choolatheruve.p.o,alpy 690 056"
Alappuzha,"Manorama Jn","Manorama Jn - koottungakkari house, vayalar p.o., cherthala"
Alappuzha,"Mithramadom Jn","Mithramadom Jn - viswabhavan pandanad p.o chengannur alappuzha"
Alappuzha,Moozhikulam,"Moozhikulam - kizhakkemoolamkuzhyil cheppad p.o cheppad"
Alappuzha,"Mother Teresa","Mother Teresa - roy nivas, muhamma.p.o., alpy 688 525"
Alappuzha,Mullikulangara,"Mullikulangara - mavullathilveedu umbernad kallumala p.o mavelikkara"
Alappuzha,"Muringachira Jun","Muringachira Jun - padinjare puthukkattu muthukulam north choolatheruvu.p.o muthukulam"
Alappuzha,Muttamkulam,"Muttamkulam - jayachandran.k karunyam muttom.p.o muthukulam"
Alappuzha,Nalukulangara,"Nalukulangara - kollaparambil house, avalookunnu p.o"
Alappuzha,"Near Gandhi Smarak","Near Gandhi Smarak - padmalayam, s.l.puram.p.o., cherthala 688 523"
Alappuzha,"Near M.S.M High School","Near M.S.M High School - kuttikkattutharayil,eruva p.o, kayamkulam"
Alappuzha,"Near Panchayath Office","Near Panchayath Office - parimanathu madom, kodamthuruthu, kuthiyathodu p.o, cherthala, alpy"
Alappuzha,Nedumbrakadu/Kodathikavala,"Nedumbrakadu/Kodathikavala - puthen madom, c.m.c.11/41, cherthalaa p.o, cherthala, alpy 688 524"
Alappuzha,Neerettupuram,"Neerettupuram - akshaya e centreneerettupuramthalavady gpalappuzha dist."
Alappuzha,Neerkunnam,"Neerkunnam - velimparampu,neerkunnam, vandanam p.o alpy 688005"
Alappuzha,"Nooranad Town","Nooranad Town - ratna bhavan, erumakuzhy, nooranad p.o, alpy 690 504"
Alappuzha,"NSS Hospital Jn Chenganda","Nss Hospital Jn Chenganda - akshaya e-centre,n s s hospital jn. , chengandathannermukkom gpalappuzha"
Alappuzha,Olathala,"Olathala - akshaya e center, vellazhathukavalapin-688531.cherthala, alappuzha,olathala, pattanakkad. p. o,"
Alappuzha,"Olathala Blocked Centre","Olathala Blocked Centre - palathittel nikarth vayalar p.o alppuzha"
Alappuzha,"Onnamkutty Jn","Onnamkutty Jn - lulu dale, cheravally, first mile, kayamkulam, pin-690502"
Alappuzha,Ottappunna,"Ottappunna - akshaya e-centreottapunnachennampallippuramalappuzha dist."
Alappuzha,Paayipad,"Paayipad - panachaparambil haripad.p.o haripad"
Alappuzha,Padanilam,"Padanilam - girish bhavan, ,neduvaramcod p.o, cheriyanad, chengannur689508"
Alappuzha,"Padanilam (Panchayath Office)","Padanilam (Panchayath Office) - anilvilasam, pattoor.p.o., bharanikkavu 690 529"
Alappuzha,"Padippura Jn","Padippura Jn - akshaya e-centrepadippura jn., thazhakaramavelikkaraalappuzha dist."
Alappuzha,Pallana,"Pallana - avittom, pallana.p.o, thrikkunnappuzha alpy 690 515"
Alappuzha,Pallichanda,"Pallichanda - menonkattil(h), pallippuram p.o., cherthala, alpy 688541"
Alappuzha,Pallimodi,"Pallimodi - anayidathukizhakkekarakozhuvalloor po chengannur"
Alappuzha,Panayil,"Panayil - akshaya e centrepanayilpalamel panchayathalappuzha dist."
Alappuzha,"Panchayath Jn","Panchayath Jn - akshaya e-centrepanchayath jnkainakary gpalappuzha dist."
Alappuzha,"Panchayath Jn Muttar","Panchayath Jn Muttar - puthenparambil ramankary p.o mampuzhakari alappuzha pin"
Alappuzha,"Panchayath Office","Panchayath Office - geethalayam thuravoor po cherthala"
Alappuzha,"Panchayath Office 1","Panchayath Office 1 - alikandayil poochakal p o cherthala alappuzha"
Alappuzha,"Panchayath Office Panavally Panchayath","Panchayath Office Panavally Panchayath - akshaya e centrevadaynad buildingnear panchayath officepanavally p. o.cherthalapin - 688526"
Alappuzha,Pankavilpadi,"Pankavilpadi - thaykuzhiyil, mulakuzha p.o, chengannur"
Alappuzha,Parachanda,"Parachanda - akshaya e-centresalem up school jnkozhuvalloor"
Alappuzha,"Paravoor Junction","Paravoor Junction - akshaya centrebabu stores building punnapra north"
Alappuzha,Parumalakadavu,"Parumalakadavu - akshaya e-centreparumalakadavumannar panchayathalappuzha dist."
Alappuzha,Pathiyoor,"Pathiyoor - r.k.sadanam, pathiyoor, keerikkadup.o., alpy 690508"
Alappuzha,Payalkulangara,"Payalkulangara - akshaya e-centrepayalkulangarapurakkad grama panchayathambalappuzha, alappuzha dist."
Alappuzha,"Payalkulangara Blocked Centre","Payalkulangara Blocked Centre - sevana vtc payalkulangara ambalappuzha"
Alappuzha,Pela,"Pela - uluvathu puthenveedu, chettikulangara, mavelikkara 690 106"
Alappuzha,Peringala,"Peringala - v.digital, medayil complex, kayamkulam, 690 502"
Alappuzha,"Peringilippuram Ennakkadu Blocked Centre","Peringilippuram Ennakkadu Blocked Centre - jagathish bhavanam kuttamperoor p.o mannar"
Alappuzha,Peroor-Mukku,"Peroor-Mukku - valliathu olakettitambalam p.o, mavelikkara"
Alappuzha,"Perumbalam Jn","Perumbalam Jn - vijitha mandiram perumpalam p.o cherthala"
Alappuzha,"PH Centre Ward","Ph Centre Ward - akshaya e centreph. centre wardpunnapra northalappuzha dist."
Alappuzha,Poklaserry,"Poklaserry - akshaya centre .kanichikkulangara"
Alappuzha,Ponnamveli,"Ponnamveli - abhilash bhavan, pattanakkad p.o., cherthala, alpy 688 531"
Alappuzha,"Poochakkal Town","Poochakkal Town - nedumparambil panavally p.o. cherthala alpy"
Alappuzha,"Poochakkal Town","Poochakkal Town - peringalth manappurm p.o. cherthala alpy"
Alappuzha,Poomkavu,"Poomkavu - thaivechidathu house, pollethai p.o, sl puram, alpy 688 567"
Alappuzha,"Pooppally Jn","Pooppally Jn - kattilchirayil, thotuvathala.p.o., kainakari 688 501"
Alappuzha,Pottikkavala,"Pottikkavala - city light, varanam p.o,puthanangadi, thannermukkomalappuzha - 688525"
Alappuzha,"Power House Ward","Power House Ward - akshaya e centre, pulimoodu juma masjid bldg, alappuzha 688001"
Alappuzha,"Power House Ward Blocked Centre","Power House Ward Blocked Centre - swapnalayam janatha market street pollathai alpy"
Alappuzha,"Prayar Vayanasala Jn","Prayar Vayanasala Jn - sreechithira, oachira, oachira.p.o, pin - 690533"
Alappuzha,"Pulikeezhu ( SNDP)","Pulikeezhu ( Sndp) - valil house, karthikappally.p.o., alappuzha dist. 690 516"
Alappuzha,Pulimkunnu,"Pulimkunnu - saboor manzil poomthoppu ward avalookkunnu p.o. alpy"
Alappuzha,"Pullukulangara Jn","Pullukulangara Jn - kaleeckal kizhakkathil pullukulangara kandalloor"
Alappuzha,"Punthala Ampimukku","Punthala Ampimukku - akshaya e centreviswakarma mahasabha bldg.punthala p.ovenmony, alappuzha dist."
Alappuzha,"Punthala Junction","Punthala Junction - akshaya centre,punthala junctionpurakkad"
Alappuzha,"Punthala Junction Blocked Centre","Punthala Junction Blocked Centre - prejosh mandiram karuvatta karuvatta north p.o harippad pin"
Alappuzha,"Purakkad Junction","Purakkad Junction - akshaya e-centrepurakkad junctionalappuzha dist."
Alappuzha,"Purakkad Junction -Blocked","Purakkad Junction -Blocked - rahmath manzil purakkad.p.o ambalappuzha"
Alappuzha,Puthanchanda,"Puthanchanda - mannathamaveli s.l puram p.o alpy"
Alappuzha,"Puthiyakavu Jn","Puthiyakavu Jn - valiyakoikkal tharayil kaippuzha p.o. nammavalikkara. alpy"
Alappuzha,"Puthiyidam Jn","Puthiyidam Jn - vayalithara padeetathil oachira oachira p.o pin"
Alappuzha,Puththenkulangara,"Puththenkulangara - peroor houdr ponnrzha thekkekkata mavelikkara"
Alappuzha,"Puthuvila Padi","Puthuvila Padi - sivaganga computer education centre, kallummoodu jn., chennithala, mavelikkara690105"
Alappuzha,"Ramankary Jn","Ramankary Jn - pathi house, vezhapra p.o., ramankary, alpy 689 595"
Alappuzha,Ramapuram,"Ramapuram - akshaya e-centreramapurampathiyoor grama panchayathalappuzha dist."
Alappuzha,"Ramavarma Nagar","Ramavarma Nagar - nediyidathkari vayalar p.o cherthala"
Alappuzha,"School Jn. (Govt)","School Jn. (Govt) - kovilakath, thannermukkom.p.o, cherthala,688 527"
Alappuzha,Sreenarayanapuram,NA
Alappuzha,"St. Martin JunctionKizhakkenalppathu","St. Martin Junctionkizhakkenalppathu - akshaya e centre, kizhakkenalpathu, st.martin jn, cherthala"
Alappuzha,T.B.Clinic,"T.B.Clinic - akshaya e-centret.b.clinickaruvatta gpharipadalappuzha dist."
Alappuzha,"T.B.Junction, Haripad","T.B.Junction, Haripad - thuruthanethu house, muthukulam north, choolatheruve.p.o,alpy 690 056"
Alappuzha,"Temple Ward","Temple Ward - akshaya e-centretemple wardchengannur municipalityalappuzha dist."
Alappuzha,Thakazhy,"Thakazhy - suvarna, punnapra p.o, alpy 688 004"
Alappuzha,Thalavady,"Thalavady - allakannaparambil, thalavady p.o, thiruvalla 689 572"
Alappuzha,Thamallakkal,"Thamallakkal - koppil house, (thoppil), thamallakkal sout, thamallakkal p.o., harippad 690 549"
Alappuzha,"Thamarakulam Town","Thamarakulam Town - dharussalam, thamarakulam p.o, thamarakulam, alpy"
Alappuzha,Thambakachuvadu,"Thambakachuvadu - akshaya e centrethambakachuvadumannancherry panchayathalappuzha dist."
Alappuzha,"Thambakachuvadu Blocked Centre","Thambakachuvadu Blocked Centre - nariyil house mannenchery p.o alpy"
Alappuzha,"Thanky Junction","Thanky Junction - akshaya e-centrethanky jn.kadakkarappally gp, alappuzha dist."
Alappuzha,"Thanky Junction Blocked Centre","Thanky Junction Blocked Centre - tharel house thottappally road eramalloor p.o alappuzha"
Alappuzha,Thathampally,"Thathampally - kannattu parambil mannenchery po alappuzha"
Alappuzha,"Thattassery jn., Kunnumma","Thattassery Jn., Kunnumma - puthenparambil housekavalm north p.okavalam - 688506"
Alappuzha,Thennady,"Thennady - akshaya e centrethennadythakazhy gpalappuzha dist."
Alappuzha,"Theruvil Mukku","Theruvil Mukku - mattathu vadakkathil, chunakkaracharummoodu, chunakkara, bharanikkave"
Alappuzha,Thirunelloor,"Thirunelloor - sreerenjini, poochakkal p.o., cherthala, alpy 688526"
Alappuzha,Thiruvilakku,"Thiruvilakku - fathima manzil,avalookkunnu ,aryad ,688006"
Alappuzha,Thondankulangara,"Thondankulangara - triveni cultural centre, thondanku;langara ward, avalookkunnu p.o., alpy"
Alappuzha,"Thottappalli Junction","Thottappalli Junction - pazhayarnikarthil, thotapally p.o, alpy"
Alappuzha,Thrikkunnappuzha,"Thrikkunnappuzha - p.s.shopping complex, thrikkunnapuzha, thrikkunnapuzha p o, pin - 690515"
Alappuzha,Thuruthimel,"Thuruthimel - thayil house, cheriyanadu p.o, chengannur 689 511"
Alappuzha,Thykkattuseri,"Thykkattuseri - puthenveli house manapuram p.o cherthala alappuzha"
Alappuzha,"Town Ward","Town Ward - sindhu bhavan, railway station ward, chengannur, alappuzha dist, pin-689121"
Alappuzha,Vaduthala,"Vaduthala - kizhakke kanooth, thrichattukulam p.o., cherthala, alpy 688581"
Alappuzha,Valady,"Valady - akshaya e-centrevalady, neelamperoor panchayathalappuzha dist."
Alappuzha,Valamangalam,"Valamangalam - akshaya e centre, valamangalam, thuravoor p.o, pin-688532"
Alappuzha,Valavanadu,"Valavanadu - akshaya e-centre, padachirayil bldg, near hospital jn."
Alappuzha,Valiyaparambu,"Valiyaparambu - kottayude parambil, pallana, pallana p.o, thrikunnapuzha, pin-690515"
Alappuzha,Vandanam,"Vandanam - puthen parambil neerkunnam vandanam tdmc p.o alpy"
Alappuzha,Varankavala,"Varankavala - akshaya centre"
Alappuzha,"VattakkalmukkuWard II (Vallethodu)","Vattakkalmukkuward Ii (Vallethodu) - narayanamandiram, kuthiyathode p.o., cherthala, alpy 688 533"
Alappuzha,Vayanasala,"Vayanasala - sreeyas evoor north alappuzha 690553"
Alappuzha,Velanchira,"Velanchira - kurandippallil house, puthiyavila p.o, puthiyavila, kandalloor, alpy 690531"
Alappuzha,Veliyanadu,"Veliyanadu - akshaya e-centreveliyanadualappuzha dist."
Alappuzha,Velliyakulam,"Velliyakulam - sreelekshmi computers, kokkothamangalam.p.o, cherthala 688 583"
Alappuzha,"Vettackkal Jn","Vettackkal Jn - punnackal house, andhakaaranazhy p. o., cherthala p.o, alpy 688 531"
Alappuzha,Vettakkal,"Vettakkal - akshaya e centre , vettakkal ,pattanakad"
Alappuzha,Vettathumukku,"Vettathumukku - akshaya e centre, neelakandavilasam, muthukulam south, muthukulam p.o, pin-690506"
Alappuzha,"Vettathumukku Blocked Centre","Vettathumukku Blocked Centre - akshaya ecentrevettathumukkumuthukulam gpalappuzha dist."
Alappuzha,"Vettuveni - Haripad","Vettuveni - Haripad - akshaya e centrevettuvenikarthikapally panchayathalappuzha dist."
Alappuzha,"Vettuveni - Pallippad","Vettuveni - Pallippad - kaleekkal house akamkudi .p.o nangiarkulangara harippad"
Alappuzha,"Western Gate Ambalapuzha","Western Gate Ambalapuzha - akshaya e-centre, p k m building, ambalappuzha west gate, ambalappuzha p.o, pin-688561"
Alappuzha,"Western Gate Ambalapuzha Blocked Centre","Western Gate Ambalapuzha Blocked Centre - kalathil veli near j b s punnapra p.o alappuzha"
Alappuzha,"West Manakkodam","West Manakkodam - veechu kadavil, thirumalabhagam p.o., thuravoor, puthankavu, alpy 688 540"
Alappuzha,"Zacharia Bazar","Zacharia Bazar - zakit hussai t.e., thekke prambil, borapurayidom, allissery ward , alpy"
