"Si. No. (Col. 1)","Crime Head (Col. 2)","Cases Pending Trial from the Previous Year - (Col. 3)","Cases Sent for Trial during the year - (Col. 4)","Total Cases for Trial (Col.3+ Col.4) - (Col. 5)","Cases Abated by Court - (Col. 6)","Cases Withdrawn from Prosecution - (Col. 7)","Cases Compounded or Compromised - (Col. 8)","Cases Disposed off by Plea Bargaining - (Col. 9)","Cases Quashed - (Col. 10)","Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - (Col. 11)","Cases Stayed or Sent to Record Room - (Col. 12)","Cases Convicted Out of Cases from Previous Year - (Col. 13)","Cases Convicted Out of Cases during the Year - (Col. 14)","Cases Convicted (Col.13+ Col.14) - (Col. 15)","Cases Discharged - (Col. 16)","Cases Acquitted - (Col. 17)","Cases which Trials were Completed (Col.15+ Col.16+ Col.17) - (Col. 18)","Cases Disposed off by Courts (Col.11+Col.18) - (Col. 19)","Cases Pending Trial at End of the Year (Col.5-Col.19) - (Col. 20)","Conviction Rate (Col.15/Col.18)*100 - (Col. 21)","Pendency Percentage (Col.20/Col.5)*100 - (Col. 22)"
8.3,"Kidnapping for Ransom",532,56,588,0,0,0,0,0,0,1,3,0,3,0,1,4,4,584,75,99.3
8.4,"Kidnapping and Abduction of Women to compel her for marriage",97537,11868,109405,1,1,75,7,7,91,6,1644,124,1768,255,2462,4485,4576,104829,39.4,95.8
8.4.1,Women,61133,5946,67079,0,0,73,2,2,77,5,1050,73,1123,149,1632,2904,2981,64098,38.7,95.6
8.4.2,Girls,36404,5922,42326,1,1,2,5,5,14,1,594,51,645,106,830,1581,1595,40731,40.8,96.2
8.5,"Procuration of Minor Girls",6128,1181,7309,0,0,0,0,1,1,2,12,15,27,0,286,313,314,6995,8.6,95.7
8.6,"Importation of Girls from Foreign Country",192,4,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,NA,100
8.7,NA,18804,2357,21161,7,0,16,0,0,23,1,129,8,137,41,340,518,541,20620,26.4,97.4
9,"Human Trafficking",2238,640,2878,1,1,0,0,0,2,0,31,7,38,2,57,97,99,2779,39.2,96.6
10,"Selling of Minor Girls",551,13,564,0,0,0,0,0,0,0,0,0,0,0,3,3,3,561,0,99.5
11,"Buying of Minor Girls",39,7,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,NA,100
12,Rape,145865,23693,169558,39,8,103,6,29,185,63,3451,363,3814,496,5403,9713,9898,159660,39.3,94.2
12.1,Women,120432,20479,140911,27,7,103,6,21,164,63,2384,300,2684,433,4647,7764,7928,132983,34.6,94.4
12.2,Girls,25433,3214,28647,12,1,0,0,8,21,0,1067,63,1130,63,756,1949,1970,26677,58,93.1
13,"Attempt to Commit Rape",14352,2796,17148,3,0,14,2,0,19,3,197,24,221,24,403,648,667,16481,34.1,96.1
13.1,Women,13274,2534,15808,2,0,14,2,0,18,3,168,22,190,21,369,580,598,15210,32.8,96.2
13.2,Girls,1078,262,1340,1,0,0,0,0,1,0,29,2,31,3,34,68,69,1271,45.6,94.9
14,"Assault on Women with Intent to Outrage her Modesty",375202,73610,448812,132,6,2513,158,74,2883,67,4951,678,5629,904,13649,20182,23065,425747,27.9,94.9
14.1,Women,356547,70064,426611,128,6,2445,137,71,2787,66,4004,620,4624,856,12968,18448,21235,405376,25.1,95
14.2,Girls,18655,3546,22201,4,0,68,21,3,96,1,947,58,1005,48,681,1734,1830,20371,58,91.8
15,"Insult to the Modesty of Women",36416,5599,42015,7,1,964,4,1,977,6,259,27,286,127,621,1034,2011,40004,27.7,95.2
15.1,Women,35004,5484,40488,6,1,778,4,1,790,6,133,19,152,127,582,861,1651,38837,17.7,95.9
15.2,Girls,1412,115,1527,1,0,186,0,0,187,0,126,8,134,0,39,173,360,1167,77.5,76.4
"Total IPC Crimes against Women","Total IPC Crimes against Women",1390086,237013,1627099,296,80,9385,743,590,11094,371,15092,1877,16969,3371,40266,60606,71700,1555399,28,95.6
16,"Dowry Prohibition Act",48127,8604,56731,4,0,159,0,22,185,11,685,117,802,112,1148,2062,2247,54484,38.9,96
17,"Immoral Traffic (Prevention) Act",8271,871,9142,2,81,0,0,1,84,2,49,5,54,11,131,196,280,8862,27.6,96.9
17.1,"Procuring, inducing Children for the sake of prostitution",2654,178,2832,0,0,0,0,1,1,0,17,1,18,2,44,64,65,2767,28.1,97.7
17.2,"Detaining a person in premises where prostitution is carried on",503,122,625,0,0,0,0,0,0,0,2,0,2,0,7,9,9,616,22.2,98.6
17.3,"Prostitution in or in the vicinity of public places",1049,116,1165,0,0,0,0,0,0,2,8,0,8,1,27,36,36,1129,22.2,96.9
17.4,"Seducing or soliciting for purpose of prostitution",867,32,899,0,0,0,0,0,0,0,4,1,5,0,5,10,10,889,50,98.9
17.5,"Other Sections under ITP Act",3198,423,3621,2,81,0,0,0,83,0,18,3,21,8,48,77,160,3461,27.3,95.6
18,"Protection of Women from Domestic Violence Act",1970,360,2330,0,0,0,0,3,3,0,53,0,53,17,10,80,83,2247,66.3,96.4
19,"Cyber Crimes/Information Technology Act",1259,806,2065,0,0,6,0,1,7,0,6,5,11,3,15,29,36,2029,37.9,98.3
19.1,"Publishing or Transmitting of Sexually Explicit Material",910,690,1600,0,0,4,0,1,5,0,5,5,10,3,6,19,24,1576,52.6,98.5
19.2,"Other Women Centric Cyber Crimes",349,116,465,0,0,2,0,0,2,0,1,0,1,0,9,10,12,453,10,97.4
20,"Protection of Children from Sexual Offences Act",131931,43641,175572,56,0,183,34,28,301,6,3175,473,3648,491,5077,9216,9517,166055,39.6,94.6
20.1,"POCSO Act Section 4 & 6",77306,26286,103592,40,0,72,6,18,136,6,1853,281,2134,279,3227,5640,5776,97816,37.8,94.4
20.2,"POCSO Act Section 8 & 10",45115,14820,59935,14,0,107,28,5,154,0,1173,167,1340,196,1553,3089,3243,56692,43.4,94.6
20.3,"POCSO Act Section 12",3819,1477,5296,1,0,4,0,3,8,0,31,5,36,0,189,225,233,5063,16,95.6
20.4,"POCSO Act Section 14 & 15",2125,510,2635,1,0,0,0,2,3,0,33,12,45,7,59,111,114,2521,40.5,95.7
20.5,"POCSO Act Section 17,18,19",3354,519,3873,0,0,0,0,0,0,0,85,8,93,9,46,148,148,3725,62.8,96.2
20.6,"POCSO Act r/w Section 377 IPC",212,29,241,0,0,0,0,0,0,0,0,0,0,0,3,3,3,238,0,98.8
21,"Indecent Representation of Women (Prohibition) Act",558,8,566,0,0,0,0,0,0,0,14,0,14,1,26,41,41,525,34.1,92.8
"Total SLL Crimes against Women","Total SLL Crimes against Women",192116,54290,246406,62,81,348,34,55,580,19,3982,600,4582,635,6407,11624,12204,234202,39.4,95
"Total Crime against Women","Total Crime against Women",1582202,291303,1873505,358,161,9733,777,645,11674,390,19074,2477,21551,4006,46673,72230,83904,1789601,29.8,95.5
