"Sl. No. Col. (1)","Crime Head Col. (2)","Cases Pending Trial from the Previous Year - Col. (3)","Cases Sent for Trial during the year - Col. (4)","Total Cases for Trial (Col.3+Col.4) - Col. (5)","Cases Abated by Court - Col. (6)","Cases Withdrawn from Prosecution - Col. (7)","Cases Compounded or Compromised - Col. (8)","Cases Disposed off by Plea Bargaining - Col. (9)","Cases Quashed - Col. (10)","Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - Col. (11)","Cases Stayed or Sent to Record Room - Col. (12)","Cases Convicted Out of Cases from Previous Year - Col. (13)","Cases Convicted Out of Cases during the Year - Col. (14)","Cases Convicted (Col.13+Col.14) - Col. (15)","Cases Discharged - Col. (16)","Cases Acquitted - Col. (17)","Cases which Trials were Completed (Col.15+Col.16+Col.17) - Col. (18)","Cases Disposed off by Courts (Col.11+Col.18) - Col. (19)","Cases Pending Trial at End of the Year (Col.5-Col.19) - Col. (20)","Conviction Rate (Col.15/Col.18)*100 - Col. (21)","Pendency Percentage (Col.20/Col.5)*100 - Col. (22)"
14,"Human Trafficking",4080,983,5063,4,1,9,1,2,17,2,44,18,62,1,171,234,251,4812,26.5,95
15,"Exploitation of Trafficked Person",436,137,573,0,0,0,0,0,0,0,2,0,2,0,28,30,30,543,6.7,94.8
16,"Selling of Minors for Prostitution",572,17,589,0,0,0,0,0,0,0,0,0,0,0,7,7,7,582,0,98.8
17,"Buying of Minors for Prostitution",169,5,174,0,0,0,0,0,0,0,0,0,0,0,2,2,2,172,0,98.9
18,Rape,159672,26164,185836,106,7,157,12,55,337,40,3038,330,3368,670,7745,11783,12120,173716,28.6,93.5
19,"Attempt to Commit Rape",16482,2740,19222,4,1,16,1,3,25,1,152,6,158,37,567,762,787,18435,20.7,95.9
20,"Unnatural Offences",4965,849,5814,1,0,4,0,0,5,4,204,7,211,7,153,371,376,5438,56.9,93.5
"Offences Affecting the Human Body(Total)","Offences Affecting the Human Body(Total)",5012469,901785,5914254,3383,320,46821,8523,1014,60061,3002,76321,16782,93103,18773,149435,261311,321372,5592882,35.6,94.6
21,"Offences against State",577,74,651,1,0,0,0,0,1,0,0,0,0,1,5,6,7,644,0,98.9
21.1,Sedition,103,25,128,1,0,0,0,0,1,0,0,0,0,1,2,3,4,124,0,96.9
21.2,Others,474,49,523,0,0,0,0,0,0,0,0,0,0,0,3,3,3,520,0,99.4
"Offences against the State (Total)","Offences against the State (Total)",577,74,651,1,0,0,0,0,1,0,0,0,0,1,5,6,7,644,0,98.9
22,"Unlawful Assembly",45242,9628,54870,5,89,83,23,14,214,9,1488,288,1776,238,1228,3242,3456,51414,54.8,93.7
23,Riots,502762,41422,544184,14,88,1394,104,147,1747,111,2504,460,2964,468,10092,13524,15271,528913,21.9,97.2
23.1,Communal/Religious,5336,345,5681,0,0,2,0,1,3,2,13,6,19,0,31,50,53,5628,38,99.1
23.2,Sectarian,1015,98,1113,0,0,0,2,0,2,0,12,0,12,0,25,37,39,1074,32.4,96.5
23.3,Industrial,1182,118,1300,0,0,0,0,0,0,0,1,0,1,3,16,20,20,1280,5,98.5
23.4,Political,8402,1164,9566,0,10,33,0,13,56,0,65,14,79,2,276,357,413,9153,22.1,95.7
23.5,"Caste Conflict",6754,422,7176,0,0,0,0,4,4,0,24,0,24,5,177,206,210,6966,11.7,97.1
23.6,Agrarian,11915,1567,13482,0,0,17,1,1,19,0,80,22,102,20,186,308,327,13155,33.1,97.6
23.7,Students,2238,318,2556,0,1,2,1,24,28,0,10,0,10,0,58,68,96,2460,14.7,96.2
23.8,"Money Dispute",6403,783,7186,0,0,15,0,3,18,0,21,1,22,4,196,222,240,6946,9.9,96.7
23.9,"Water Dispute",3693,481,4174,0,0,13,0,0,13,0,10,1,11,4,74,89,102,4072,12.4,97.6
23.1,"Land/Property Dispute",105432,9267,114699,0,9,338,6,4,357,4,252,59,311,14,1463,1788,2145,112554,17.4,98.1
23.11,"Family Disputes",26305,3254,29559,0,0,196,1,1,198,0,149,195,344,19,490,853,1051,28508,40.3,96.4
23.12,Enmity/Rivalry,24510,3825,28335,0,14,64,1,13,92,11,215,9,224,42,756,1022,1114,27221,21.9,96.1
23.13,"Electricity/Power Supply Disputes",199,20,219,0,0,0,0,0,0,0,3,0,3,0,3,6,6,213,50,97.3
23.14,"Rioting while in Aandolan/Morcha",13783,929,14712,1,7,3,0,40,51,3,142,83,225,11,315,551,602,14110,40.8,95.9
23.15,"Rioting/Attacks on Police Personnel or Govt Servants",7990,883,8873,0,4,14,6,0,24,13,23,0,23,1,106,130,154,8719,17.7,98.3
23.16,"Other Riots",277605,17948,295553,13,43,697,86,43,882,78,1484,70,1554,343,5920,7817,8699,286854,19.9,97.1
24,"Offences promoting enmity between different groups",2877,711,3588,2,1,9,0,1,13,0,41,6,47,3,67,117,130,3458,40.2,96.4
24.1,"Promoting enmity between groups",2736,687,3423,2,1,9,0,1,13,0,36,6,42,3,65,110,123,3300,38.2,96.4
24.2,"Imputation, assertions prejudicial to national integration",141,24,165,0,0,0,0,0,0,0,5,0,5,0,2,7,7,158,71.4,95.8
25,Affray,17379,6456,23835,2,2,124,0,0,128,2,2386,2065,4451,76,515,5042,5170,18665,88.3,78.3
"Offences against Public Tranquillity (Total)","Offences against Public Tranquillity (Total)",568260,58217,626477,23,180,1610,127,162,2102,122,6419,2819,9238,785,11902,21925,24027,602450,42.1,96.2
26,Theft,1017730,159446,1177176,347,315,18528,560,77,19827,681,16299,4415,20714,4021,26509,51244,71071,1106105,40.4,94
26.1,"Auto/Motor Vehicle Theft",306023,61795,367818,72,36,5993,106,27,6234,117,6560,1603,8163,1406,8874,18443,24677,343141,44.3,93.3
26.2,"Other Thefts",711707,97651,809358,275,279,12535,454,50,13593,564,9739,2812,12551,2615,17635,32801,46394,762964,38.3,94.3
27,Burglary,322364,39788,362152,153,19,1112,49,10,1343,352,4682,1164,5846,664,7911,14421,15764,346388,40.5,95.6
27.1,"Day Time",56999,5873,62872,27,9,190,13,3,242,63,817,203,1020,89,1393,2502,2744,60128,40.8,95.6
27.2,Night,265365,33915,299280,126,10,922,36,7,1101,289,3865,961,4826,575,6518,11919,13020,286260,40.5,95.6
28,"Extortion & Blackmailing",37153,8216,45369,49,17,118,3,10,197,29,514,125,639,101,1590,2330,2527,42842,27.4,94.4
29,Robbery,177873,21144,199017,59,14,88,1,7,169,74,1718,331,2049,360,3425,5834,6003,193014,35.1,97
30,"Attempt to Commit Dacoity/Robbery",2080,455,2535,1,0,4,0,0,5,9,80,13,93,6,91,190,195,2340,48.9,92.3
31,Dacoity,35159,2245,37404,5,1,5,0,5,16,77,152,13,165,25,572,762,778,36626,21.7,97.9
31.1,Dacoity,34613,2225,36838,5,1,5,0,5,16,77,148,13,161,25,565,751,767,36071,21.4,97.9
31.2,"Dacoity with Murder",546,20,566,0,0,0,0,0,0,0,4,0,4,0,7,11,11,555,36.4,98.1
32,"Making Preparation and Assembly for committing Dacoity",26777,3823,30600,0,0,1,0,0,1,15,74,8,82,35,419,536,537,30063,15.3,98.2
33,"Criminal Misappropriation",1619,109,1728,0,0,2,0,0,2,0,75,1,76,1,104,181,183,1545,42,89.4
34,"Criminal Breach of Trust",126238,13085,139323,45,10,460,5,9,529,59,816,66,882,258,1709,2849,3378,135945,31,97.6
35,"Dishonestly Receiving/Dealing-in Stolen Property",29391,7156,36547,2,0,13,5,1,21,8,1262,70,1332,39,360,1731,1752,34795,76.9,95.2
"Offences against Property (Total)","Offences against Property (Total)",1776384,255467,2031851,661,376,20331,623,119,22110,1304,25672,6206,31878,5510,42690,80078,102188,1929663,39.8,95
36,Counterfeiting,8877,537,9414,4,1,2,0,2,9,11,72,0,72,4,80,156,165,9249,46.2,98.2
36.1,"Counterfeit Coin",793,10,803,0,0,0,0,0,0,0,1,0,1,0,0,1,1,802,100,99.9
36.2,"Counterfeiting Government Stamp",20,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,NA,100
36.3,"Counterfeiting of Seal or Mark",44,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,NA,100
36.4,"Counterfeit Currency & Bank notes",8020,522,8542,4,1,2,0,2,9,11,71,0,71,4,80,155,164,8378,45.8,98.1
37,"Forgery, Cheating & Fraud",479921,73932,553853,277,32,3573,218,183,4283,675,4036,541,4577,800,10457,15834,20117,533736,28.9,96.4
37.1,Fraud,56399,9644,66043,36,6,333,26,14,415,11,544,88,632,128,1340,2100,2515,63528,30.1,96.2
37.1.1,Bank,2882,773,3655,4,0,23,0,1,28,0,27,2,29,2,83,114,142,3513,25.4,96.1
37.1.2,ATMs,4306,978,5284,1,0,13,0,0,14,0,63,52,115,0,31,146,160,5124,78.8,97
37.1.3,"Credit Card/Debit Card",2060,788,2848,2,0,50,0,0,52,0,32,1,33,12,68,113,165,2683,29.2,94.2
37.1.4,"Other Frauds",47151,7105,54256,29,6,247,26,13,321,11,422,33,455,114,1158,1727,2048,52208,26.3,96.2
37.2,Cheating,376052,55073,431125,221,25,3078,142,159,3625,647,2393,424,2817,477,8295,11589,15214,415911,24.3,96.5
37.3,Forgery,47470,9215,56685,20,1,162,50,10,243,17,1099,29,1128,195,822,2145,2388,54297,52.6,95.8
"Offences Relating to Documents & Property Marks (Total)","Offences Relating to Documents & Property Marks (Total)",488798,74469,563267,281,33,3575,218,185,4292,686,4108,541,4649,804,10537,15990,20282,542985,29.1,96.4
38,"Offences relating to Elections",5205,2098,7303,3,2,5,0,1,11,2,240,109,349,1,320,670,681,6622,52.1,90.7
39,"Disobedience to order duly promulgated by Public Servant",443371,354645,798016,70,13050,6045,655,7697,27517,495,68950,98490,167440,24114,81932,273486,301003,497013,61.2,62.3
40,"Harbouring an Offender",355,95,450,0,0,0,0,0,0,0,4,0,4,1,5,10,10,440,40,97.8
41,"Offences relating to Adulteration or Sale of Food/Drugs",4447,7441,11888,16,0,263,12,86,377,0,1680,4277,5957,6,199,6162,6539,5349,96.7,45
42,"Rash Driving on Public way",1151790,315273,1467063,573,211,12288,612,88,13772,664,101383,65734,167117,4119,31880,203116,216888,1250175,82.3,85.2
42.1,"Rash Driving on Public Way",290608,104744,395352,99,8,1965,41,11,2124,508,42644,30131,72775,932,8487,82194,84318,311034,88.5,78.7
42.2,"Causing Hurt by Rash/Negligent Driving on Public Way",456161,115630,571791,262,176,7611,435,51,8535,113,31292,20173,51465,1561,13893,66919,75454,496337,76.9,86.8
42.3,"Causing Grievous Hurt by Rash/Negligent Driving on Public",405021,94899,499920,212,27,2712,136,26,3113,43,27447,15430,42877,1626,9500,54003,57116,442804,79.4,88.6
43,"Obstruction on Public way",157000,58187,215187,30,15,463,142,1,651,1,20439,24901,45340,795,4707,50842,51493,163694,89.2,76.1
44,"Sale of obscene Books/Objects",973,59,1032,2,0,0,0,0,2,7,2,8,10,5,26,41,43,989,24.4,95.8
45,"Obscene Acts and Songs at Public Places",108963,18924,127887,48,16,1094,48,5,1211,8,2598,1935,4533,176,2582,7291,8502,119385,62.2,93.4
46,"Offences relating to Religion",5570,1027,6597,1,0,12,0,1,14,3,68,12,80,11,140,231,245,6352,34.6,96.3
47,"Cheating by Impersonation",2596,264,2860,1,0,7,0,0,8,0,17,4,21,0,15,36,44,2816,58.3,98.5
48,"Offences related to Mischief",9067,2708,11775,3,0,87,4,2,96,4,99,47,146,18,319,483,579,11196,30.2,95.1
49,Arson,44698,4905,49603,26,2,88,1,5,122,20,222,30,252,83,1069,1404,1526,48077,17.9,96.9
50,"Criminal Trespass",136801,36250,173051,54,12,3857,90,34,4047,366,3599,891,4490,253,5267,10010,14057,158994,44.9,91.9
51,"Cruelty by Husband or his Relatives",651405,114304,765709,131,102,9126,1311,593,11263,153,4145,170,4315,992,19851,25158,36421,729288,17.2,95.2
52,"Circulate False/Fake News/Rumours",1082,632,1714,1,0,45,0,3,49,0,36,13,49,1,63,113,162,1552,43.4,90.5
53,"Criminal Intimidation",351649,112655,464304,86,12,5552,2147,33,7830,38,7416,1123,8539,983,16936,26458,34288,430016,32.3,92.6
54,"Insult to the Modesty of Women",40004,6780,46784,28,3,1134,9,10,1184,7,205,48,253,35,789,1077,2261,44523,23.5,95.2
"Miscellaneous IPC Crimes(Total)","Miscellaneous IPC Crimes(Total)",3114976,1036247,4151223,1073,13425,40066,5031,8559,68154,1768,211103,197792,408895,31593,166100,606588,674742,3476481,67.4,83.7
55,"Other IPC crimes",2148499,394006,2542505,461,10403,21113,3231,7844,43052,1036,72621,56284,128905,19690,51884,200479,243531,2298974,64.3,90.4
"Total Cognizable IPC crimes","Total Cognizable IPC crimes",13109963,2720265,15830228,5883,24737,133516,17753,17883,199772,7918,396244,280424,676668,77156,432553,1186377,1386149,14444079,57,91.2
