"S. No (Col. 1)","Crime Head (Col. 2)","Cases Pending Investigation from Previous Year (Col. 3)","Cases Reported during the year (Col. 4)","Cases Reopened for Investigation (Col. 5)","Total Cases for Investigation (Col. 6) = (Col.3+ Col.4+ Col.5)","Cases Not Investigated Under 157_1_b CRPC (Col. 7)","Cases Transferred to other State or Agency (Col. 8)","Cases Withdrawn by the Govt during investigation (Col. 9)","Final Report - Cases Ended as FR Non Cognizable (Col. 10)","Final Report - Cases Ended as Final Report False (Col. 11)","Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col. 12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col. 13)","Final Report - Cases Abated during Investigation (Col. 14)","Final Report - Total (Col. 15) = (Col.10+ Col.11+ Col.12+ Col.13+ Col.14)","Chargesheets submitted - Cases Chargesheeted Out of Cases from Previous Year (Col. 16)","Chargesheets submitted - Cases Chargesheeted Out of Cases during the Year (Col. 17)","Chargesheets submitted - Cases Chargesheeted (Col. 18) = (Col.16+ Col.17)","Total Cases Disposed Off by Police (Col. 19) = (Col.7+ Col.8+ Col.15+ Col.18)","Cases Quashed at Investigation Stage (Col. 20)","Cases Stayed at Investigation Stage (Col. 21)","Cases Pending Investigation at End of the Year (Col. 22) = (Col.6- Col.9- Col.19- Col.20)","ChargeSheeting Rate (Col. 23) = (Col.18/ Col.19) *100","Pendency Percentage (Col. 24) = (Col.22/ Col.6) *100"
18.2.1A,Girls,6622,16139,12,22773,0,13,0,11,439,254,534,22,1260,3510,11274,14784,16057,15,2,6701,92.1,29.4
18.2.1B,Boys,115,260,0,375,0,1,0,0,6,2,3,1,12,76,119,195,208,1,0,166,93.8,44.3
18.3,"Section 12 of POCSO Act or POCSO Act (Section 12) r/w Section 509 IPC",763,1917,0,2680,0,5,0,0,66,49,44,5,164,330,1129,1459,1628,2,2,1050,89.6,39.2
18.3.1A,Girls,739,1866,0,2605,0,5,0,0,63,48,44,4,159,319,1102,1421,1585,2,2,1018,89.7,39.1
18.3.1B,Boys,24,51,0,75,0,0,0,0,3,1,0,1,5,11,27,38,43,0,0,32,88.4,42.7
18.4,"Section 14 & 15 of POCSO Act",396,1114,0,1510,0,2,0,0,56,31,6,0,93,146,598,744,839,0,1,671,88.7,44.4
18.4.1A,Girls,378,1079,0,1457,0,2,0,0,55,31,4,0,90,145,575,720,812,0,1,645,88.7,44.3
18.4.1B,Boys,18,35,0,53,0,0,0,0,1,0,2,0,3,1,23,24,27,0,0,26,88.9,49.1
18.5,"POCSO Act  r/w Section 377 IPC",359,745,0,1104,0,1,0,0,12,10,11,1,34,165,474,639,674,0,0,430,94.8,38.9
18.5.1A,Girls,100,36,0,136,0,0,0,0,0,1,2,0,3,1,23,24,27,0,0,109,88.9,80.1
18.5.1B,Boys,259,709,0,968,0,1,0,0,12,9,9,1,31,164,451,615,647,0,0,321,95.1,33.2
18.6,"Sections 17 to 22 of POCSO Act",477,968,0,1445,0,0,0,0,123,97,88,0,308,131,610,741,1049,2,1,394,70.6,27.3
18.6.1A,Girls,461,951,0,1412,0,0,0,0,121,87,87,0,295,128,601,729,1024,2,1,386,71.2,27.3
18.6.1B,Boys,16,17,0,33,0,0,0,0,2,10,1,0,13,3,9,12,25,0,0,8,48,24.2
19,"Juvenile Justice (Care and Protection of Children) Act",901,1968,2,2871,0,3,0,13,47,59,64,24,207,308,1351,1659,1869,3,2,999,88.8,34.8
19.1,"Offences by Care Takers/In-charge of Juvenile Homes",133,412,1,546,0,1,0,0,2,6,20,0,28,45,304,349,378,2,1,166,92.3,30.4
19.2,"Other Offences",768,1556,1,2325,0,2,0,13,45,53,44,24,179,263,1047,1310,1491,1,1,833,87.9,35.8
20,"Immoral Traffic (Prevention) Act",82,22,0,104,0,0,0,0,0,0,1,0,1,11,11,22,23,0,0,81,95.7,77.9
20.1,"Procuring, inducing Children for the sake of prostitution",45,14,0,59,0,0,0,0,0,0,1,0,1,8,5,13,14,0,0,45,92.9,76.3
20.2,"Detaining a person in premises where prostitution is carried on",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,100
20.3,Others,36,8,0,44,0,0,0,0,0,0,0,0,0,3,6,9,9,0,0,35,100,79.5
21,"Child Labour (Prohibition & Regulation) Act",374,770,0,1144,0,1,0,0,18,13,59,0,90,138,546,684,775,0,0,369,88.3,32.3
22,"Prohibition of Child Marriage Act",302,525,0,827,0,6,0,0,24,31,19,0,74,121,240,361,441,1,0,385,81.9,46.6
23,"Transplantation of Human Organs Act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
24,"Cyber Crimes/Information Technology Act",187,164,1,352,0,0,0,0,0,7,31,0,38,15,78,93,131,0,0,221,71,62.8
24.1,"Publishing or Transmitting of material depicting children in sexually explicit act",74,102,1,177,0,0,0,0,0,4,20,0,24,11,47,58,82,0,0,95,70.7,53.7
24.2,"Other Cyber Crimes against Children",113,62,0,175,0,0,0,0,0,3,11,0,14,4,31,35,49,0,0,126,71.4,72
25,"Other SLL crimes",183,116,0,299,0,0,0,3,4,3,6,0,16,29,61,90,106,0,0,193,84.9,64.5
"Total SLL Crimes","Total SLL Crimes",19793,50900,88,70781,1,104,0,35,1078,748,1476,73,3410,10319,35271,45590,49105,36,70,21640,92.8,30.6
"Total Crimes against Children","Total Crimes against Children",72654,148185,119,220958,3,165,1,242,13877,21126,14600,698,50543,21140,67012,88152,138863,118,99,81976,63.5,37.1
