"Sl. No.","Crime Head","Juveniles Apprehended - Boys","Juveniles Apprehended - Girls","Juveniles Apprehended - Transgender","Juveniles Apprehended - Total","18 Years & Above - Below 30 Years - Male ","18 Years & Above - Below 30 Years - Female","18 Years & Above - Below 30 Years - Transgender","18 Years & Above - Below 30 Years - Total","30 Years & above - Below 45 Years - Male","30 Years & above - Below 45 Years - Female","30 Years & above - Below 45 Years - Transgender","30 Years & above - Below 45 Years - Total","45 Years & above - Below 60 Years - Male ","45 Years & above - Below 60 Years - Female","45 Years & above - Below 60 Years - Transgender","45 Years & above - Below 60 Years - Total","60 Years & Above - Male","60 Years & Above - Female","60 Years & Above - Transgender","60 Years & Above - Total","Total of Overall Age Group - Male ","Total of Overall Age Group - Female","Total of Overall Age Group - Transgender","Total of Overall Age Group"
21,"Offences against State",1,0,0,1,5,0,0,5,4,1,0,5,0,0,0,0,0,0,0,0,10,1,0,11
21.1,Sedition,1,0,0,1,2,0,0,2,3,1,0,4,0,0,0,0,0,0,0,0,6,1,0,7
21.2,Others,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4
"Offences against the State (Total)","Offences against the State (Total)",1,0,0,1,5,0,0,5,4,1,0,5,0,0,0,0,0,0,0,0,10,1,0,11
22,"Unlawful Assembly",10,1,0,11,8518,1668,0,10186,16493,3559,0,20052,9305,1473,0,10778,528,139,0,667,34854,6840,0,41694
23,Riots,140,0,0,140,3817,275,0,4092,3344,340,0,3684,1122,85,0,1207,78,6,0,84,8501,706,0,9207
23.1,Communal/Religious,0,0,0,0,101,0,0,101,46,0,0,46,16,0,0,16,0,0,0,0,163,0,0,163
23.2,Sectarian,0,0,0,0,6,0,0,6,18,0,0,18,0,0,0,0,0,0,0,0,24,0,0,24
23.3,Industrial,0,0,0,0,7,0,0,7,4,0,0,4,3,0,0,3,0,0,0,0,14,0,0,14
23.4,Political,0,0,0,0,43,1,0,44,52,14,0,66,18,5,0,23,0,0,0,0,113,20,0,133
23.5,"Caste Conflict",0,0,0,0,15,0,0,15,10,0,0,10,0,0,0,0,0,0,0,0,25,0,0,25
23.6,Agrarian,0,0,0,0,35,0,0,35,6,0,0,6,4,0,0,4,0,0,0,0,45,0,0,45
23.7,Students,0,0,0,0,18,0,0,18,2,0,0,2,3,0,0,3,0,0,0,0,23,0,0,23
23.8,"Money Dispute",0,0,0,0,278,8,0,286,285,13,0,298,197,4,0,201,1,0,0,1,761,25,0,786
23.9,"Water Dispute",0,0,0,0,4,0,0,4,0,0,0,0,7,0,0,7,0,0,0,0,11,0,0,11
23.1,"Land/Property Dispute",5,0,0,5,205,9,0,214,251,23,0,274,74,8,0,82,7,0,0,7,542,40,0,582
23.11,"Family Disputes",5,0,0,5,222,16,0,238,115,17,0,132,127,10,0,137,8,3,0,11,477,46,0,523
23.12,Enmity/Rivalry,32,0,0,32,528,24,0,552,640,28,0,668,133,10,0,143,12,2,0,14,1345,64,0,1409
23.13,"Electricity/Power Supply Disputes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.14,"Rioting while in Aandolan/Morcha",2,0,0,2,130,0,0,130,113,0,0,113,39,1,0,40,5,0,0,5,289,1,0,290
23.15,"Rioting/Attacks on Police Personnel or Govt Servants",0,0,0,0,47,8,0,55,52,11,0,63,6,2,0,8,0,0,0,0,105,21,0,126
23.16,"Other Riots",96,0,0,96,2178,209,0,2387,1750,234,0,1984,495,45,0,540,45,1,0,46,4564,489,0,5053
24,"Offences promoting enmity between different groups",0,0,0,0,70,2,0,72,63,2,0,65,14,1,0,15,5,0,0,5,152,5,0,157
24.1,"Promoting enmity between groups",0,0,0,0,61,1,0,62,63,2,0,65,13,1,0,14,5,0,0,5,142,4,0,146
24.2,"Imputation, assertions prejudicial to national integration",0,0,0,0,9,1,0,10,0,0,0,0,1,0,0,1,0,0,0,0,10,1,0,11
25,Affray,7,0,0,7,921,69,2,992,647,103,2,752,168,36,0,204,16,2,0,18,1759,210,4,1973
"Offences against Public Tranquillity (Total)","Offences against Public Tranquillity (Total)",157,1,0,158,13326,2014,2,15342,20547,4004,2,24553,10609,1595,0,12204,627,147,0,774,45266,7761,4,53031
26,Theft,2592,7,0,2599,41140,366,6,41512,20340,375,2,20717,6440,137,0,6577,128,10,0,138,70640,895,8,71543
26.1,"Auto/Motor Vehicle Theft",1022,0,0,1022,14084,9,0,14093,6531,9,0,6540,2029,0,0,2029,43,0,0,43,23709,18,0,23727
26.2,"Other Thefts",1570,7,0,1577,27056,357,6,27419,13809,366,2,14177,4411,137,0,4548,85,10,0,95,46931,877,8,47816
27,Burglary,415,0,0,415,5981,49,0,6030,2869,55,0,2924,672,12,0,684,17,2,0,19,9954,118,0,10072
27.1,"Day Time",53,0,0,53,969,7,0,976,510,19,0,529,107,5,0,112,3,1,0,4,1642,32,0,1674
27.2,Night,362,0,0,362,5012,42,0,5054,2359,36,0,2395,565,7,0,572,14,1,0,15,8312,86,0,8398
28,"Extortion & Blackmailing",13,1,0,14,1165,19,0,1184,870,27,0,897,217,2,0,219,10,2,0,12,2275,51,0,2326
29,Robbery,723,0,2,725,6694,31,10,6735,3005,36,3,3044,631,2,0,633,3,0,0,3,11056,69,15,11140
30,"Attempt to Commit Dacoity/Robbery",6,0,0,6,196,2,0,198,53,1,0,54,11,0,0,11,0,0,0,0,266,3,0,269
31,Dacoity,74,0,0,74,734,8,0,742,350,11,2,363,60,3,0,63,1,0,0,1,1219,22,2,1243
31.1,Dacoity,73,0,0,73,722,7,0,729,347,11,2,360,58,3,0,61,1,0,0,1,1201,21,2,1224
31.2,"Dacoity with Murder",1,0,0,1,12,1,0,13,3,0,0,3,2,0,0,2,0,0,0,0,18,1,0,19
32,"Making Preparation and Assembly for committing Dacoity",26,0,0,26,1730,2,0,1732,587,2,0,589,57,0,0,57,1,0,0,1,2401,4,0,2405
33,"Criminal Misappropriation",0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,3
34,"Criminal Breach of Trust",2,0,0,2,975,37,0,1012,1059,60,0,1119,402,24,0,426,46,4,0,50,2484,125,0,2609
35,"Dishonestly Receiving/Dealing-in Stolen Property",1,0,0,1,982,0,0,982,212,0,0,212,243,0,0,243,0,0,0,0,1438,0,0,1438
"Offences against Property (Total)","Offences against Property (Total)",3852,8,2,3862,59599,514,16,60129,29345,567,7,29919,8734,180,0,8914,206,18,0,224,101736,1287,25,103048
36,Counterfeiting,0,0,0,0,78,3,0,81,59,4,0,63,9,0,0,9,0,0,0,0,146,7,0,153
36.1,"Counterfeit Coin",0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2
36.2,"Counterfeiting Government Stamp",0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4
36.3,"Counterfeiting of Seal or Mark",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.4,"Counterfeit Currency & Bank notes",0,0,0,0,77,3,0,80,54,4,0,58,9,0,0,9,0,0,0,0,140,7,0,147
37,"Forgery, Cheating & Fraud",31,0,0,31,7238,280,0,7518,8059,566,0,8625,3219,238,0,3457,404,39,0,443,18951,1123,0,20074
37.1,Fraud,7,0,0,7,1714,72,0,1786,1591,86,0,1677,673,43,0,716,44,1,0,45,4029,202,0,4231
37.1.1,Bank,0,0,0,0,86,4,0,90,149,4,0,153,25,8,0,33,7,0,0,7,267,16,0,283
37.1.2,ATMs,0,0,0,0,200,1,0,201,150,0,0,150,75,0,0,75,0,0,0,0,425,1,0,426
37.1.3,"Credit Card/Debit Card",0,0,0,0,199,1,0,200,122,0,0,122,17,0,0,17,3,0,0,3,341,1,0,342
37.1.4,"Other Frauds",7,0,0,7,1229,66,0,1295,1170,82,0,1252,556,35,0,591,34,1,0,35,2996,184,0,3180
37.2,Cheating,20,0,0,20,4649,186,0,4835,5437,414,0,5851,2016,185,0,2201,325,34,0,359,12447,819,0,13266
37.3,Forgery,4,0,0,4,875,22,0,897,1031,66,0,1097,530,10,0,540,35,4,0,39,2475,102,0,2577
"Offences Relating to Documents & Property Marks (Total)","Offences Relating to Documents & Property Marks (Total)",31,0,0,31,7316,283,0,7599,8118,570,0,8688,3228,238,0,3466,404,39,0,443,19097,1130,0,20227
38,"Offences relating to Elections",1,0,0,1,9,0,0,9,42,0,0,42,16,4,0,20,1,0,0,1,69,4,0,73
39,"Disobedience to order duly promulgated by Public Servant",15,0,0,15,43057,261,0,43318,27119,308,0,27427,8987,83,0,9070,613,12,0,625,79791,664,0,80455
40,"Harbouring an Offender",0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
41,"Offences relating to Adulteration or Sale of Food/Drugs",0,0,0,0,127,0,0,127,91,1,0,92,30,1,0,31,1,0,0,1,249,2,0,251
42,"Rash Driving on Public way",77,1,0,78,10923,397,0,11320,9188,393,0,9581,3104,245,0,3349,323,78,0,401,23615,1114,0,24729
42.1,"Rash Driving on Public Way",3,0,0,3,3309,13,0,3322,2899,18,0,2917,477,1,0,478,25,0,0,25,6713,32,0,6745
42.2,"Causing Hurt by Rash/Negligent Driving on Public Way",52,1,0,53,3785,201,0,3986,2957,199,0,3156,1299,168,0,1467,97,28,0,125,8190,597,0,8787
42.3,"Causing Grievous Hurt by Rash/Negligent Driving on Public",22,0,0,22,3829,183,0,4012,3332,176,0,3508,1328,76,0,1404,201,50,0,251,8712,485,0,9197
43,"Obstruction on Public way",0,0,0,0,6275,14,0,6289,9675,82,0,9757,1892,19,0,1911,205,2,0,207,18047,117,0,18164
44,"Sale of obscene Books/Objects",0,0,0,0,9,0,0,9,4,1,0,5,0,0,0,0,0,0,0,0,13,1,0,14
45,"Obscene Acts and Songs at Public Places",6,1,0,7,923,140,0,1063,902,66,0,968,252,9,0,261,11,2,0,13,2094,218,0,2312
46,"Offences relating to Religion",1,0,0,1,80,0,0,80,44,1,0,45,12,0,0,12,0,1,0,1,137,2,0,139
47,"Cheating by Impersonation",0,0,0,0,23,2,0,25,30,0,0,30,10,0,0,10,0,0,0,0,63,2,0,65
48,"Offences related to Mischief",3,0,0,3,175,5,0,180,116,5,0,121,34,2,0,36,2,0,0,2,330,12,0,342
49,Arson,5,0,0,5,250,0,0,250,151,1,0,152,34,0,0,34,2,0,0,2,442,1,0,443
50,"Criminal Trespass",17,0,0,17,854,51,0,905,893,85,0,978,298,35,0,333,32,3,0,35,2094,174,0,2268
51,"Cruelty by Husband or his Relatives",4,0,0,4,4385,860,0,5245,5211,1592,0,6803,2068,1139,0,3207,610,470,0,1080,12278,4061,0,16339
52,"Circulate False/Fake News/Rumours",0,0,0,0,27,0,0,27,18,0,0,18,2,0,0,2,0,0,0,0,47,0,0,47
53,"Criminal Intimidation",65,0,0,65,3061,450,0,3511,2300,459,2,2761,793,181,0,974,113,47,0,160,6332,1137,2,7471
54,"Insult to the Modesty of Women",25,0,0,25,971,30,0,1001,655,38,0,693,99,3,0,102,6,0,0,6,1756,71,0,1827
"Miscellaneous IPC Crimes(Total)","Miscellaneous IPC Crimes(Total)",219,2,0,221,71151,2210,0,73361,56439,3032,2,59473,17631,1721,0,19352,1919,615,0,2534,147359,7580,2,154941
55,"Other IPC crimes",257,2,0,259,47424,529,1,47954,23894,528,0,24422,10927,156,0,11083,1650,22,0,1672,84152,1237,1,85390
"Total Cognizable IPC crimes","Total Cognizable IPC crimes",6951,23,2,6976,246217,7499,27,253743,171240,11024,20,182284,61821,4678,1,66500,5495,928,0,6423,491724,24152,50,515926
