"Sl. No. Col. (1)","Crime Head Col. (2)","Cases Pending Investigation from Previous Year - Col. (3)","Cases Reported during the year - Col. (4)","Cases Reopened for Investigation - Col. (5)","Total Cases for Investigation (Col.3+ Col.4+ Col.5) - Col. (6)","Cases Not Investigated Under 157-1-b CRPC - Col. (7)","Cases Transferred to Other State or Agency - Col. (8)","Cases Withdrawn by the Govt during Investi-gation - Col. (9)","Final Report - Cases Ended as FR Non Cognizable - Col. (10)","Final Report - Cases Ended as Final Report False - Col. (11)","Final Report - Cases Ended as Mistake of Fact or of law or Civil D - Col. (12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col. (13)","Final Report - Cases Abated during Investigation - Col. (14)","Final Report - Total (Col.10+ Col.11+ Col.12+ Col13+ Col.14) - Col. (15)","Charge Sheets Submitted - Cases Charge Sheeted Out of cases From Prev. Year - Col. (16)","Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col. (17)","Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - Col. (18)","Total Cases Disposed Off by Police (Col.7+8+15+18) - Col. (19)","Cases Quashed at Investigation Stage - Col. (20)","Cases Stayed at Investigation Stage - Col. (21)","Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col. (22)","Chargesheeting Rate (Col.18/19*100) - Col. (23)","Pendency Percentage (Col.22/6*100) - Col. (24)"
14.1,Women,6407,7494,0,13901,0,17,0,13,279,187,379,8,866,3127,4247,7374,8257,6,10,5638,89.3,40.6
14.2,Girls,61,116,0,177,0,0,0,0,17,5,1,0,23,45,74,119,142,0,0,35,83.8,19.8
15,"Insult to the Modesty of Women",2147,1496,0,3643,0,0,0,3,17,22,127,1,170,816,769,1585,1755,0,3,1888,90.3,51.8
15.1,Women,2140,1488,0,3628,0,0,0,3,17,21,127,1,169,811,767,1578,1747,0,1,1881,90.3,51.8
15.2,Girls,7,8,0,15,0,0,0,0,0,1,0,0,1,5,2,7,8,0,2,7,87.5,46.7
"Total IPC Crimes against Women","Total IPC Crimes against Women",34392,36269,0,70661,0,43,0,23,1573,5596,2776,18,9986,11541,14224,25765,35794,206,72,34661,72,49.1
16,"Dowry Prohibition Act",443,889,0,1332,0,30,0,0,57,10,18,0,85,336,475,811,926,2,2,404,87.6,30.3
17,"Immoral Traffic (Prevention) Act",989,309,0,1298,0,0,0,0,0,0,0,0,0,123,164,287,287,0,0,1011,100,77.9
17.1,"Procuring, inducing Children for the sake of prostitution",572,60,0,632,0,0,0,0,0,0,0,0,0,25,36,61,61,0,0,571,100,90.3
17.2,"Detaining a person in premises where prostitution is carried on",157,131,0,288,0,0,0,0,0,0,0,0,0,26,59,85,85,0,0,203,100,70.5
17.3,"Prostitution in or in the vicinity of public places",79,67,0,146,0,0,0,0,0,0,0,0,0,22,43,65,65,0,0,81,100,55.5
17.4,"Seducing or soliciting for purpose of prostitution",7,4,0,11,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,7,100,63.6
17.5,"Other Sections under ITP Act",174,47,0,221,0,0,0,0,0,0,0,0,0,48,24,72,72,0,0,149,100,67.4
18,"Protection of Women from Domestic Violence Act",16,21,0,37,0,0,0,0,0,0,0,0,0,3,10,13,13,0,0,24,100,64.9
19,"Cyber Crimes/Information Technology Act",415,224,0,639,0,1,0,0,1,52,28,0,81,26,47,73,155,1,1,483,47.1,75.6
19.1,"Publishing or Transmitting of Sexually Explicit Material",304,195,0,499,0,1,0,0,1,40,27,0,68,24,39,63,132,0,1,367,47.7,73.5
19.2,"Other Women Centric Cyber Crimes",111,29,0,140,0,0,0,0,0,12,1,0,13,2,8,10,23,1,0,116,43.5,82.9
20,"Protection of Children from Sexual Offences Act",4037,5702,0,9739,0,12,0,0,26,36,89,9,160,1480,3951,5431,5603,4,1,4132,96.9,42.4
20.1,"POCSO Act Section 4 & 6",1898,3489,0,5387,0,9,0,0,11,13,38,5,67,772,2529,3301,3377,4,0,2006,97.7,37.2
20.2,"POCSO Act Section 8 & 10",1883,1901,0,3784,0,3,0,0,6,14,46,3,69,621,1249,1870,1942,0,1,1842,96.3,48.7
20.3,"POCSO Act Section 12",191,203,0,394,0,0,0,0,2,2,3,0,7,60,119,179,186,0,0,208,96.2,52.8
20.4,"POCSO Act Section 14 & 15",33,30,0,63,0,0,0,0,0,2,1,0,3,3,13,16,19,0,0,44,84.2,69.8
20.5,"POCSO Act Section 17,18,19",24,73,0,97,0,0,0,0,7,5,1,1,14,22,35,57,71,0,0,26,80.3,26.8
20.6,"POCSO Act r/w Section 377 IPC",8,6,0,14,0,0,0,0,0,0,0,0,0,2,6,8,8,0,0,6,100,42.9
21,"Indecent Representation of Women (Prohibition) Act",6,0,0,6,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,4,0.0,66.7
"Total SLL Crimes against Women","Total SLL Crimes against Women",5906,7145,0,13051,0,43,0,0,84,98,137,9,328,1968,4647,6615,6986,7,4,6058,94.7,46.4
"Total Crime against Women","Total Crime against Women",40298,43414,0,83712,0,86,0,23,1657,5694,2913,27,10314,13509,18871,32380,42780,213,76,40719,75.7,48.6
