"S. No (Col.1)","Category (Col.2)","Crime Head (Col.3)","Cases Pending Investigation from Previous Year (Col.4)","Cases Reported during the year (Col.5)","Cases Reopened for Investigation (Col.6)","Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6)","Cases Not Investigated under 157_1_b CRPC (Col.8)","Cases Transferred to other State or Agency (Col.9)","Cases Withdrawn by the Govt during Investigation (Col.10)","Final Report - Cases Ended as FR Non Cognizable (Col.11)","Final Report - Cases Ended as Final Report False (Col.12)","Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14)","Final Report - Cases Abated during Investigation (Col.15)","Final Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15)","Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17)","Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18)","Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18)","Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19)","Cases Quashed at Investigation Stage (Col.21)","Cases Stayed at Investigation Stage (Col.22)","Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21)","Chargesheeting Rate (Col.24=Col.19/ Col.20) *100","Pendency Percentage (Col.25=Col.23/ Col.7) *100"
18.4,"SLL Crimes","Section 14 & 15 of POCSO Act",201,812,0,1013,1,0,0,0,19,18,5,1,43,81,495,576,620,0,0,393,92.9,38.8
18.4.1A,"SLL Crimes",Girls,177,781,0,958,1,0,0,0,19,18,5,1,43,70,469,539,583,0,0,375,92.5,39.1
18.4.1B,"SLL Crimes",Boys,24,31,0,55,0,0,0,0,0,0,0,0,0,11,26,37,37,0,0,18,100,32.7
18.5,"SLL Crimes","POCSO Act r/w Section 377 IPC",307,592,0,899,0,0,0,0,13,5,23,0,41,108,402,510,551,0,0,348,92.6,38.7
18.5.1A,"SLL Crimes",Girls,118,41,0,159,0,0,0,0,0,1,5,0,6,22,31,53,59,0,0,100,89.8,62.9
18.5.1B,"SLL Crimes",Boys,189,551,0,740,0,0,0,0,13,4,18,0,35,86,371,457,492,0,0,248,92.9,33.5
18.6,"SLL Crimes","Sections 17 to 22 of POCSO Act",498,812,0,1310,0,2,0,0,54,86,58,0,198,127,571,698,898,1,0,411,77.7,31.4
18.6.1A,"SLL Crimes",Girls,470,804,0,1274,0,1,0,0,54,86,58,0,198,111,568,679,878,1,0,395,77.3,31
18.6.1B,"SLL Crimes",Boys,28,8,0,36,0,1,0,0,0,0,0,0,0,16,3,19,20,0,0,16,95,44.4
19,"SLL Crimes","Juveniles Justice (Care and Protection of Children) Act - Total",1053,2030,0,3083,0,0,0,0,74,63,131,2,270,411,1506,1917,2187,1,2,895,87.7,29
19.1,"SLL Crimes","Offences by Care Takers/In-charge of Juvenile Homes",176,650,0,826,0,0,0,0,14,9,26,0,49,85,559,644,693,0,0,133,92.9,16.1
19.2,"SLL Crimes","Other Offences",877,1380,0,2257,0,0,0,0,60,54,105,2,221,326,947,1273,1494,1,2,762,85.2,33.8
20,"SLL Crimes","Immoral Traffic (Prevention) Act - Total",65,41,0,106,0,0,0,0,0,0,1,0,1,8,18,26,27,0,0,79,96.3,74.5
20.1,"SLL Crimes","Procuring, inducing Children for the sake of prostitution",29,26,0,55,0,0,0,0,0,0,0,0,0,1,12,13,13,0,0,42,100,76.4
20.2,"SLL Crimes","Detaining a person in premises where prostitution is carried on",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,100
20.3,"SLL Crimes",Others,35,15,0,50,0,0,0,0,0,0,1,0,1,7,6,13,14,0,0,36,92.9,72
21,"SLL Crimes","Child Labour (Prohibition & Regulation) Act",333,464,0,797,0,0,0,0,8,11,29,0,48,99,273,372,420,0,0,377,88.6,47.3
22,"SLL Crimes","Prohibition of Child Marriage Act",252,501,0,753,0,5,0,0,28,22,25,0,75,95,273,368,448,0,1,305,82.1,40.5
23,"SLL Crimes","Transplantation of Human Organs Act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
24,"SLL Crimes","Cyber Crimes/Information Technology Act - Total",79,117,0,196,0,0,0,0,2,3,12,0,17,1,38,39,56,0,0,140,69.6,71.4
24.1,"SLL Crimes","Publishing or Transmitting of material depicting children in sexually explicit act",4,44,0,48,0,0,0,0,0,1,4,0,5,0,22,22,27,0,0,21,81.5,43.8
24.2,"SLL Crimes","Other Cyber Crimes against Children",75,73,0,148,0,0,0,0,2,2,8,0,12,1,16,17,29,0,0,119,58.6,80.4
25,"SLL Crimes","Other SLL Crimes",271,54,0,325,0,0,0,0,5,4,5,0,14,58,24,82,96,0,0,229,85.4,70.5
Total,"SLL Crimes","Total SLL Crimes",17127,43034,23,60184,2,73,1,18,710,714,1011,52,2505,8750,29622,38372,40952,26,32,19205,93.7,31.9
"Grand Total","Total Crimes against Children","Total Crimes against Children",64300,141764,60,206124,8,132,35,137,10618,19455,14559,501,45270,19366,68430,87796,133206,90,74,72793,65.9,35.3
