"Sl. No. Col. (1)","Crime Head Col. (2)","Cases Pending Trial from the Previous Year - Col. (3)","Cases Sent for Trial during the year - Col. (4)","Total Cases for Trial (Col.3+Col.4) - Col. (5)","Cases Abated by Court - Col. (6)","Cases Withdrawn from Prosecution - Col. (7)","Cases Compounded or Compromised - Col. (8)","Cases Disposed off by Plea Bargaining - Col. (9)","Cases Quashed - Col. (10)","Cases Disposed off without trial (Col.6+Col.7+Col.8+Col.9+Col.10) - Col. (11)","Cases Stayed or Sent to Record Room - Col. (12)","Cases Convicted Out of Cases from Previous Year - Col. (13)","Cases Convicted Out of Cases during the Year - Col. (14)","Cases Convicted (Col.13+Col.14) - Col. (15)","Cases Discharged - Col. (16)","Cases Acquitted - Col. (17)","Cases which Trials were Completed (Col.15+Col.16+Col.17) - Col. (18)","Cases Disposed off by Courts (Col.11+Col.18) - Col. (19)","Cases Pending Trial at End of the Year (Col.5-Col.19) - Col. (20)","Conviction Rate (Col.15/Col.18)*100 - Col. (21)","Pendency Percentage (Col.20/Col.5)*100 - Col. (22)"
8.3,"Kidnapping for Ransom",584,43,627,0,0,2,0,1,3,0,3,0,3,0,8,11,14,613,27.3,97.8
8.4,"Kidnapping and Abduction of Women to compel her for marriage",104828,13192,118020,8,11,114,12,11,156,10,709,185,894,104,2080,3078,3234,114786,29,97.3
8.4.1,Women,64097,6081,70178,6,10,40,12,5,73,1,351,127,478,49,1027,1554,1627,68551,30.8,97.7
8.4.2,Girls,40731,7111,47842,2,1,74,0,6,83,9,358,58,416,55,1053,1524,1607,46235,27.3,96.6
8.5,"Procuration of Minor Girls",6995,1234,8229,1,8,11,2,0,22,0,31,5,36,2,271,309,331,7898,11.7,96
8.6,"Importation of Girls from Foreign Country",196,2,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,-,100
8.7,NA,20585,3826,24411,2,0,31,2,2,37,0,158,9,167,61,780,1008,1045,23366,16.6,95.7
9,"Human Trafficking",2767,759,3526,2,0,2,0,0,4,0,24,16,40,1,70,111,115,3411,36,96.7
10,"Selling of Minor Girls",562,15,577,0,0,0,0,0,0,0,0,0,0,0,7,7,7,570,0,98.8
11,"Buying of Minor Girls",46,5,51,0,0,0,0,0,0,0,0,0,0,0,2,2,2,49,0,96.1
12,Rape,159672,26164,185836,106,7,157,12,55,337,40,3038,330,3368,670,7745,11783,12120,173716,28.6,93.5
12.1,Women,132998,23217,156215,89,7,148,10,47,301,39,2388,286,2674,510,6294,9478,9779,146436,28.2,93.7
12.2,Girls,26674,2947,29621,17,0,9,2,8,36,1,650,44,694,160,1451,2305,2341,27280,30.1,92.1
13,"Attempt to Commit Rape",16482,2740,19222,4,1,16,1,3,25,1,152,6,158,37,567,762,787,18435,20.7,95.9
13.1,Women,15211,2592,17803,2,1,13,1,3,20,0,131,5,136,37,524,697,717,17086,19.5,96
13.2,Girls,1271,148,1419,2,0,3,0,0,5,1,21,1,22,0,43,65,70,1349,33.8,95.1
14,"Assault on Women with Intent to Outrage her Modesty",425770,77168,502938,171,36,3711,288,161,4367,142,5846,656,6502,1055,13056,20613,24980,477958,31.5,95
14.1,Women,405597,73580,479177,163,36,3571,281,158,4209,142,5320,563,5883,928,12359,19170,23379,455798,30.7,95.1
14.2,Girls,20173,3588,23761,8,0,140,7,3,158,0,526,93,619,127,697,1443,1601,22160,42.9,93.3
15,"Insult to the Modesty of Women",40004,6780,46784,28,3,1134,9,10,1184,7,205,48,253,35,789,1077,2261,44523,23.5,95.2
15.1,Women,38837,6708,45545,26,3,1118,9,10,1166,7,195,48,243,35,755,1033,2199,43346,23.5,95.2
15.2,Girls,1167,72,1239,2,0,16,0,0,18,0,10,0,10,0,34,44,62,1177,22.7,95
"Total IPC Crimes against Women","Total IPC Crimes against Women",1555384,268921,1824305,503,169,14457,1677,853,17659,363,15860,1673,17533,3460,48601,69594,87253,1737052,25.2,95.2
16,"Dowry Prohibition Act",54483,10703,65186,7,2,411,18,55,493,14,432,81,513,89,1335,1937,2430,62756,26.5,96.3
17,"Immoral Traffic (Prevention) Act",8861,934,9795,3,11,0,0,2,16,7,81,7,88,6,197,291,307,9488,30.2,96.9
17.1,"Procuring, inducing Children for the sake of prostitution",2766,274,3040,3,0,0,0,0,3,3,46,3,49,0,84,133,136,2904,36.8,95.5
17.2,"Detaining a person in premises where prostitution is carried on",616,168,784,0,0,0,0,0,0,4,12,3,15,1,15,31,31,753,48.4,96
17.3,"Prostitution in or in the vicinity of public places",1128,115,1243,0,0,0,0,1,1,0,2,0,2,1,21,24,25,1218,8.3,98
17.4,"Seducing or soliciting for purpose of prostitution",889,32,921,0,0,0,0,0,0,0,5,1,6,0,17,23,23,898,26.1,97.5
17.5,"Other Sections under ITP Act",3462,345,3807,0,11,0,0,1,12,0,16,0,16,4,60,80,92,3715,20,97.6
18,"Protection of Women from Domestic Violence Act",2244,419,2663,0,0,4,0,0,4,0,2,5,7,0,16,23,27,2636,30.4,99
19,"Cyber Crimes/Information Technology Act",2029,1059,3088,1,0,4,0,1,6,0,15,4,19,7,28,54,60,3028,35.2,98.1
19.1,"Publishing or Transmitting of Sexually Explicit Material",1577,886,2463,1,0,3,0,0,4,0,15,4,19,6,20,45,49,2414,42.2,98
19.2,"Other Women Centric Cyber Crimes",452,173,625,0,0,1,0,1,2,0,0,0,0,1,8,9,11,614,0,98.2
20,"Protection of Children from Sexual Offences Act",166146,50030,216176,106,2,326,13,33,480,9,4452,627,5079,570,10099,15748,16228,199948,32.3,92.5
20.1,"POCSO Act Section 4 & 6",97816,31371,129187,53,2,195,2,25,277,8,2846,424,3270,297,6660,10227,10504,118683,32,91.9
20.2,"POCSO Act Section 8 & 10",56755,15861,72616,50,0,125,11,4,190,1,1435,182,1617,226,2922,4765,4955,67661,33.9,93.2
20.3,"POCSO Act Section 12",5092,1748,6840,3,0,5,0,4,12,0,90,13,103,7,354,464,476,6364,22.2,93
20.4,"POCSO Act Section 14 & 15",2519,408,2927,0,0,1,0,0,1,0,35,0,35,22,73,130,131,2796,26.9,95.5
20.5,"POCSO Act Section 17,18,19",3727,616,4343,0,0,0,0,0,0,0,46,8,54,17,88,159,159,4184,34,96.3
20.6,"POCSO Act r/w Section 377 IPC",237,26,263,0,0,0,0,0,0,0,0,0,0,1,2,3,3,260,0,98.9
21,"Indecent Representation of Women (Prohibition) Act",525,17,542,0,0,1,0,0,1,0,4,0,4,1,17,22,23,519,18.2,95.8
"Total SLL Crimes against Women","Total SLL Crimes against Women",234288,63162,297450,117,15,746,31,91,1000,30,4986,724,5710,673,11692,18075,19075,278375,31.6,93.6
"Total Crime against Women","Total Crime against Women",1789672,332083,2121755,620,184,15203,1708,944,18659,393,20846,2397,23243,4133,60293,87669,106328,2015427,26.5,95
