"S. No (Col. 1)","Crime Head (Col. 2)","Cases Pending Investigation from Previous Year (Col. 3)","Cases Reported during the year (Col. 4)","Cases Reopened for Investigation (Col. 5)","Total Cases for Investigation (Col. 6) = (Col.3+ Col.4+ Col.5)","Cases Not Investigated Under 157_1_b CRPC (Col. 7)","Cases Transferred to other State or Agency (Col. 8)","Cases Withdrawn by the Govt during investigation (Col. 9)","Final Report - Cases Ended as FR Non Cognizable (Col. 10)","Final Report - Cases Ended as Final Report False (Col. 11)","Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col. 12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col. 13)","Final Report - Cases Abated during Investigation (Col. 14)","Final Report - Total (Col. 15) = (Col.10+ Col.11+ Col.12+ Col.13+ Col.14)","Chargesheets submitted - Cases Chargesheeted Out of Cases from Previous Year (Col. 16)","Chargesheets submitted - Cases Chargesheeted Out of Cases during the Year (Col. 17)","Chargesheets submitted - Cases Chargesheeted (Col. 18) = (Col.16+ Col.17)","Total Cases Disposed Off by Police (Col. 19) = (Col.7+ Col.8+ Col.15+ Col.18)","Cases Quashed at Investigation Stage (Col. 20)","Cases Stayed at Investigation Stage (Col. 21)","Cases Pending Investigation at End of the Year (Col. 22) = (Col.6- Col.9- Col.19- Col.20)","ChargeSheeting Rate (Col. 23) = (Col.18/ Col.19) *100","Pendency Percentage (Col. 24) = (Col.22/ Col.6) *100"
13.2,Girls,209,336,1,546,0,0,0,0,27,11,29,3,70,48,188,236,306,0,0,240,77.1,44
14,"Assault on Women with Intent to Outrage her Modesty",33804,88367,19,122190,2,48,0,173,6288,2378,4615,175,13629,19001,54333,73334,87013,89,39,35088,84.3,28.7
14.1,Women,32074,84139,9,116222,2,48,0,173,5947,2235,4412,164,12931,18068,51774,69842,82823,80,39,33319,84.3,28.7
14.2,Girls,1730,4228,10,5968,0,0,0,0,341,143,203,11,698,933,2559,3492,4190,9,0,1769,83.3,29.6
15,"Insult to the Modesty of Women",4472,6939,2,11413,0,5,0,8,425,178,407,0,1018,1909,3931,5840,6863,1,3,4549,85.1,39.9
15.1,Women,4348,6839,2,11189,0,5,0,8,415,172,403,0,998,1874,3882,5756,6759,1,2,4429,85.2,39.6
15.2,Girls,124,100,0,224,0,0,0,0,10,6,4,0,20,35,49,84,104,0,1,120,80.8,53.6
"Total IPC Crimes against Women","Total IPC Crimes against Women",157731,343177,109,501017,7,407,6,437,31039,27916,26135,954,86481,64709,178714,243423,330318,409,238,170284,73.7,34
16,"Dowry Prohibition Act",7353,13297,2,20652,0,47,1,8,462,1335,1418,8,3231,2715,6968,9683,12961,268,13,7422,74.7,35.9
17,"Immoral Traffic (Prevention) Act",1352,1185,5,2542,0,3,0,0,5,14,19,0,38,315,620,935,976,0,3,1566,95.8,61.6
17.1,"Procuring, inducing Children for the sake of prostitution",595,432,0,1027,0,0,0,0,3,4,10,0,17,78,166,244,261,0,0,766,93.5,74.6
17.2,"Detaining a person in premises where prostitution is carried on",62,155,0,217,0,1,0,0,0,0,0,0,0,25,81,106,107,0,0,110,99.1,50.7
17.3,"Prostitution in or in the vicinity of public places",79,153,5,237,0,0,0,0,2,1,1,0,4,28,91,119,123,0,0,114,96.7,48.1
17.4,"Seducing or soliciting for purpose of prostitution",35,62,0,97,0,0,0,0,0,0,1,0,1,26,50,76,77,0,0,20,98.7,20.6
17.5,"Other Sections under ITP Act",581,383,0,964,0,2,0,0,0,9,7,0,16,158,232,390,408,0,3,556,95.6,57.7
18,"Protection of Women from Domestic Violence Act",259,553,0,812,0,0,0,0,9,15,2,0,26,71,436,507,533,0,0,279,95.1,34.4
19,"Cyber Crimes/Information Technology Act",1100,1621,1,2722,0,0,0,0,28,35,273,1,337,151,567,718,1055,1,0,1666,68.1,61.2
19.1,"Publishing or Transmitting of Sexually Explicit Material",713,1158,0,1871,0,0,0,0,17,22,143,1,183,111,459,570,753,0,0,1118,75.7,59.8
19.2,"Other Women Centric Cyber Crimes",387,463,1,851,0,0,0,0,11,13,130,0,154,40,108,148,302,1,0,548,49,64.4
20,"Protection of Children from Sexual Offences Act",17275,46005,78,63358,1,92,0,19,953,609,1273,46,2900,9402,32160,41562,44555,31,61,18772,93.3,29.6
20.1,"POCSO Act Section 4 & 6",8975,25934,66,34975,1,72,0,8,275,188,602,20,1093,5299,18585,23884,25050,12,55,9913,95.3,28.3
20.2,"POCSO Act Section 8 & 10",6622,16139,12,22773,0,13,0,11,439,254,534,22,1260,3510,11274,14784,16057,15,2,6701,92.1,29.4
20.3,"POCSO Act Section 12",739,1866,0,2605,0,5,0,0,63,48,44,4,159,319,1102,1421,1585,2,2,1018,89.7,39.1
20.4,"POCSO Act Section 14 & 15",378,1079,0,1457,0,2,0,0,55,31,4,0,90,145,575,720,812,0,1,645,88.7,44.3
20.5,"POCSO Act Section 17,18,19",461,951,0,1412,0,0,0,0,121,87,87,0,295,128,601,729,1024,2,1,386,71.2,27.3
20.6,"POCSO Act  r/w Section 377 IPC",100,36,0,136,0,0,0,0,0,1,2,0,3,1,23,24,27,0,0,109,88.9,80.1
21,"Indecent Representation of Women (Prohibition) Act",29,23,0,52,0,0,0,0,1,1,3,0,5,5,13,18,23,0,2,29,78.3,55.8
"Total SLL Crimes against Women","Total SLL Crimes against Women",27368,62684,86,90138,1,142,1,27,1458,2009,2988,55,6537,12659,40764,53423,60103,300,79,29734,88.9,33
"Total Crime against Women","Total Crime against Women",185099,405861,195,591155,8,549,7,464,32497,29925,29123,1009,93018,77368,219478,296846,390421,709,317,200018,76,33.8
