"S. No (Col.1)","Category (Col.2)","Crime Head (Col.3)","Cases Pending Investigation from Previous Year (Col.4)","Cases Reported during the year (Col.5)","Cases Reopened for Investigation (Col.6)","Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6)","Cases Not Investigated under 157_1_b CRPC (Col.8)","Cases Transferred to other State or Agency (Col.9)","Cases withdrawn by the Govt during Investigation (Col.10)","Final Report - Cases Ended as FR Non Cognizable (Col.11)","Final Report - Cases Ended as Final Report False (Col.12)","Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14)","Final Report - Cases Abated during Investigation (Col.15)","Final Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15)","Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17)","Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18)","Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18)","Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19)","Cases Quashed at Investigation Stage (Col.21)","Cases Stayed at Investigation Stage (Col.22)","Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21)","Chargesheeting Rate (Col.24=Col.19/ Col.20) *100","Pendency Percentage (Col.25=Col.23/ Col.7) *100"
8.5,"IPC Crimes against Women","Procuration of Minor Girls",2526,3039,21,5586,0,4,0,4,684,369,371,36,1464,622,1003,1625,3093,0,0,2493,52.5,44.6
8.6,"IPC Crimes against Women","Importation of Girls from Foreign Country",8,4,0,12,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,10,50,83.3
8.7,"IPC Crimes against Women",NA,5383,6051,0,11434,0,2,0,35,1724,1883,906,119,4667,802,1453,2255,6924,4,0,4506,32.6,39.4
9,"IPC Crimes against Women","Human Trafficking",458,854,6,1318,0,2,0,0,19,26,38,3,86,176,443,619,707,0,0,611,87.6,46.4
10,"IPC Crimes against Women","Selling of Minor Girls",112,40,0,152,0,0,0,0,0,5,6,0,11,11,26,37,48,0,0,104,77.1,68.4
11,"IPC Crimes against Women","Buying of Minor Girls",22,8,0,30,0,0,0,0,0,0,1,0,1,0,2,2,3,0,0,27,66.7,90
12,"IPC Crimes against Women","Rape - Total",13762,33356,21,47139,1,71,3,31,2875,767,1093,75,4841,7054,21415,28469,33382,59,51,13695,85.3,29.1
12.1,"IPC Crimes against Women",Women,11210,24044,15,35269,1,65,3,29,2640,671,940,70,4350,5273,14420,19693,24109,57,38,11100,81.7,31.5
12.2,"IPC Crimes against Women",Girls,2552,9312,6,11870,0,6,0,2,235,96,153,5,491,1781,6995,8776,9273,2,13,2595,94.6,21.9
13,"IPC Crimes against Women","Attempt to Commit Rape - Total",1722,4097,2,5821,0,2,0,6,493,147,274,12,932,771,2345,3116,4050,0,9,1771,76.9,30.4
13.1,"IPC Crimes against Women",Women,1596,3652,2,5250,0,2,0,6,478,142,255,12,893,727,2054,2781,3676,0,8,1574,75.7,30
13.2,"IPC Crimes against Women",Girls,126,445,0,571,0,0,0,0,15,5,19,0,39,44,291,335,374,0,1,197,89.6,34.5
14,"IPC Crimes against Women","Assault on Women with Intent to Outrage her Modesty - Total",32144,89097,17,121258,3,35,4,143,5257,2450,4721,99,12670,17484,57617,75101,87809,83,39,33362,85.5,27.5
14.1,"IPC Crimes against Women",Women,30764,81067,14,111845,3,35,4,141,4938,2290,4418,93,11880,16814,51430,68244,80162,71,38,31608,85.1,28.3
14.2,"IPC Crimes against Women",Girls,1380,8030,3,9413,0,0,0,2,319,160,303,6,790,670,6187,6857,7647,12,1,1754,89.7,18.6
15,"IPC Crimes against Women","Insult to the Modesty of Women - Total",4788,6992,1,11781,0,5,0,7,339,237,382,4,969,1923,4185,6108,7082,3,5,4696,86.2,39.9
15.1,"IPC Crimes against Women",Women,4638,6820,1,11459,0,5,0,7,336,229,370,4,946,1867,4068,5935,6886,3,5,4570,86.2,39.9
15.2,"IPC Crimes against Women",Girls,150,172,0,322,0,0,0,0,3,8,12,0,23,56,117,173,196,0,0,126,88.3,39.1
Total,"IPC Crimes against Women","Total IPC Crimes against Women",153139,323345,102,476586,10,303,46,514,23801,27873,26643,1117,79948,63245,173186,236431,316692,531,326,159317,74.7,33.4
16,"SLL Crimes against Women","Dowry Prohibition Act",6630,12826,0,19456,1,61,0,13,307,819,1216,15,2370,3067,6531,9598,12030,1,31,7425,79.8,38.2
17,"SLL Crimes against Women","Immoral Traffic (Prevention) Act - Total",1216,1459,8,2683,0,0,0,0,5,13,31,0,49,401,878,1279,1328,0,1,1355,96.3,50.5
17.1,"SLL Crimes against Women","Procuring, inducing Children for the sake of prostitution",652,253,0,905,0,0,0,0,1,1,6,0,8,118,183,301,309,0,0,596,97.4,65.9
17.2,"SLL Crimes against Women","Detaining a person in premises where prostitution is carried on",75,143,0,218,0,0,0,0,1,2,2,0,5,53,98,151,156,0,0,62,96.8,28.4
17.3,"SLL Crimes against Women","Prostitution in or in the vicinity of public places",90,172,1,263,0,0,0,0,3,0,0,0,3,38,142,180,183,0,1,80,98.4,30.4
17.4,"SLL Crimes against Women","Seducing or soliciting for purpose of prostitution",37,120,0,157,0,0,0,0,0,0,6,0,6,25,91,116,122,0,0,35,95.1,22.3
17.5,"SLL Crimes against Women","Other Sections under ITP Act",362,771,7,1140,0,0,0,0,0,10,17,0,27,167,364,531,558,0,0,582,95.2,51.1
18,"SLL Crimes against Women","Protection of Women from Domestic Violence Act",177,579,0,756,0,1,0,1,10,3,1,1,16,42,429,471,488,1,0,267,96.5,35.3
19,"SLL Crimes against Women","Cyber Crimes/Information Technology Act - Total",628,1244,0,1872,0,2,0,1,32,45,220,0,298,82,371,453,753,2,0,1117,60.2,59.7
19.1,"SLL Crimes against Women","Publishing or Transmitting of Sexually Explicit Material",371,862,0,1233,0,2,0,1,16,33,108,0,158,52,288,340,500,2,0,731,68,59.3
19.2,"SLL Crimes against Women","Other Women Centric Cyber Crimes",257,382,0,639,0,0,0,0,16,12,112,0,140,30,83,113,253,0,0,386,44.7,60.4
20,"SLL Crimes against Women","Protection of Children from Sexual Violence Act - Total",14722,38802,13,53537,2,67,1,18,560,599,778,49,2004,7899,26837,34736,36809,24,28,16703,94.4,31.2
20.1,"SLL Crimes against Women","POCSO Act Section 4 & 6",7761,21401,2,29164,1,48,0,5,191,219,360,42,817,4538,15006,19544,20410,13,14,8741,95.8,30
20.2,"SLL Crimes against Women","POCSO Act Section 8 & 10",5507,14124,10,19641,0,16,1,11,231,233,294,5,774,2845,9652,12497,13287,8,12,6345,94.1,32.3
20.3,"SLL Crimes against Women","POCSO Act Section 12",689,1651,1,2341,0,2,0,2,65,42,56,1,166,313,1111,1424,1592,2,2,747,89.4,31.9
20.4,"SLL Crimes against Women","POCSO Act Section 14 & 15",177,781,0,958,1,0,0,0,19,18,5,1,43,70,469,539,583,0,0,375,92.5,39.1
20.5,"SLL Crimes against Women","POCSO Act Section 17,18,19",470,804,0,1274,0,1,0,0,54,86,58,0,198,111,568,679,878,1,0,395,77.3,31
20.6,"SLL Crimes against Women","POCSO Act r/w Section 377 IPC",118,41,0,159,0,0,0,0,0,1,5,0,6,22,31,53,59,0,0,100,89.8,62.9
21,"SLL Crimes against Women","Indecent Representation of Women (Prohibition) Act",24,22,0,46,0,1,0,0,1,2,4,0,7,3,7,10,18,0,0,28,55.6,60.9
Total,"SLL Crimes against Women","Total SLL Crimes against Women",23397,54932,21,78350,3,132,1,33,915,1481,2250,65,4744,11494,35053,46547,51426,28,60,26895,90.5,34.3
"Grand Total","Total Crime against Women","Total Crime against Women",176536,378277,123,554936,13,435,47,547,24716,29354,28893,1182,84692,74739,208239,282978,368118,559,386,186212,76.9,33.6
