Crop,Weights,"Area-T.E. (2007-08)",Area-2007-08,Index-2007-08,Area-2008-09,Index-2008-09,Area-2009-10,Index-2009-10,Area-2010-11,Index-2010-11,Area-2011-12,Index-2011-12,Area-2012-13,Index-2012-13,Area-2013-14,Index-2013-14,Area-2014-15,Index-2014-15,Area-2015-16*,Index-2015-16*
Sunflower,0.78,2138.67,1911.6,89.38,1812.8,84.76,1476.6,69.04,928.98,43.44,731.86,34.22,830.51,38.83,671.5,31.4,589.8,27.58,474.29,22.18
Soyabean,3.56,8305.97,8881.7,106.93,9510.8,114.51,9734.7,117.2,9601.04,115.59,10109.12,121.71,10840.73,130.52,11716.4,141.06,10910.8,131.36,11664.86,140.44
"Total Oilseeds",13.25,27022.7,26692.6,98.51,27557.8,101.82,25959.1,94.79,27224.22,101.02,26308.09,97.46,26484.42,97.54,28050.5,104.1,25596.3,94.72,26134.49,96.71
Sugarcane,9.89,4802.57,5055.2,105.26,4415.4,91.94,4174.6,86.92,4884.78,101.71,5037.66,104.9,4998.94,104.09,4993.3,103.97,5066.8,105.5,4953.4,103.14
Cotton,4.41,9078.43,9413.7,103.69,9406.7,103.62,10131.7,111.6,11235,123.75,12178.01,134.14,11977,131.93,11960,131.74,12819,141.2,11872,130.77
Jute,0.66,788.93,814.1,103.19,785.6,99.58,811.2,102.82,773.6,98.06,809.02,102.55,776.67,98.45,756,95.83,749.8,95.04,730.79,92.63
Mesta,0.01,142.1,146.2,102.89,115.3,81.14,94.2,66.29,98.6,69.39,95.64,67.3,85.85,60.41,81.6,57.42,60,42.22,54.3,38.22
Coconut,1.19,1928.93,1903.2,98.67,1903,98.66,1895,98.24,1896,98.29,2071,107.37,2137,110.79,2140,110.94,1976,102.44,2094,108.56
"Cotton seed",2.13,9078.43,9413.7,103.69,9406.7,103.62,10131.7,111.6,11235,123.75,12178,134.14,11977,131.93,11960,131.74,12819,141.2,11910,131.19
Sannhamp,0,32.91,32.07,97.44,25.81,78.42,24.57,74.65,28.19,85.65,21.17,64.32,17.5,53.17,16.16,49.1,11.55,35.09,NA,NA
Potato,3.63,1479.63,1553.1,104.97,1828.3,123.56,1835,124.02,1863,125.91,1907,128.88,1992,134.63,1973,133.34,2076,140.31,2134,144.22
Tapioca,0.82,250.77,253.5,101.09,280,111.66,232,92.52,221,88.13,227,90.52,207,82.55,228,90.92,208,82.95,204,81.35
"Sweet potato",0.19,106.47,106,99.56,124.3,116.75,119,111.77,113,106.14,110,103.32,112,105.2,106,99.56,107,100.5,130,122.1
Onion,1.51,689.47,704.4,102.17,834.2,120.99,756,109.65,1064,154.32,1087,157.66,1052,152.58,1204,174.63,1173,170.13,1225,177.67
Banana,3.2,477.77,532.5,111.46,709,148.4,770,161.17,830,173.72,797,166.82,776,162.42,803,168.07,822,172.05,846,177.07
Tobacco,0.41,363.13,348.1,95.86,390.48,107.53,442.99,121.99,490.15,134.98,466.03,128.34,426.06,117.33,455.9,125.55,455.53,125.44,NA,NA
"Guar seed",0.62,3257.27,3472.6,106.61,3862.49,118.58,2995.2,91.95,3382.15,103.83,3449.36,105.9,5151.65,158.16,5962.51,183.05,5345.86,164.12,NA,NA
"Black pepper",0.22,234.4,197,84.04,238.7,101.83,196,83.62,184,78.5,200,85.32,125,53.33,124,52.9,129,55.03,129,55.03
"Dry chillies",1.29,741,805.8,108.74,779.1,105.14,767,103.51,792,106.88,805,108.64,794,107.15,775,104.59,761,102.7,789,106.48
"Dry ginger",0.27,106.93,104.1,97.35,108.6,101.56,108,101,149,139.34,155,144.95,136,127.18,133,124.38,142,132.79,165,154.3
Turmeric,0.52,175.27,175.3,100.02,181.1,103.33,181,103.27,195,111.26,219,124.95,194,110.69,233,132.94,184,104.98,185,105.55
Arecanut,1.39,383.4,386.7,100.86,387,100.94,400,104.33,400,104.33,464,121.02,446,116.33,452,117.89,450,117.37,473,123.37
Cardamom,0.1,91.93,81.8,88.98,92,100.07,90,97.9,87,94.63,89,96.81,92,100.07,93,101.16,100,108.77,91,98.98
Coriander,0.19,348.47,384.2,110.25,396.9,113.9,360,103.31,530,152.09,558,160.13,543,155.83,447,128.28,553,158.7,622,178.5
Garlic,0.69,166.4,205.1,123.26,166.2,99.88,165,99.16,201,120.79,242,145.43,248,149.04,231,138.82,262,157.45,261,156.85
Tea,0.28,567.37,557.05,98.18,557.05,98.18,557.05,98.18,557.05,98.18,557.05,98.18,557.1,98.19,557.1,98.19,566.66,99.88,566.66,99.88
Coffee,0.62,342.97,388.2,113.19,394.35,114.98,399.68,116.54,404.65,117.99,409.69,119.45,415.34,121.1,418.98,122.16,423.27,123.41,434.44,126.67
Rubber,1.87,616.07,635.4,103.14,661.98,107.45,686.52,111.43,711.56,115.5,734.78,119.27,757.52,122.96,778.4,126.35,795.14,129.07,811,131.64
"Non Foodgrains",49.34,63273.72,64361.62,103.19,65608.06,106.1,64282.51,104.34,69549.95,114.03,71175.49,116.5,72479.05,116.16,74932.45,119.38,73651.9,116.4,66815.09,105.6
"All Crops",100,186398.75,188429.12,102.16,188441.52,103.46,185615.99,102.13,196221.34,109.13,195930.38,110.19,193254.68,109.01,199974.45,112.39,197950.7,106.2,189465.38,101.65
