"Sl No","NIC 2004",Description,"No Power Needed (Values in Lakh)","Coal (Values in Lakh)","Oil (Values in Lakh)","LPG/CNG (Values in Lakh)","Electricity (Values in Lakh)","Non-Conventional Energy (Values in Lakh)","Traditional Energy/Firewood (Values in Lakh)","Others (Values in Lakh)","Not Recorded (Values in Lakh)","Total (Values in Lakh)"
24,36,"MANUFACTURE OF FURNITURE; MANUFACTURING N.E.C.",5.22,0.18,0.15,0.4,3.59,0.04,0.34,0.48,0.2,10.62
25,37,RECYCLING,0,0,0,0,0,0,0,0.01,0,0.01
26,40,"ELECTRICITY, GAS, STEAM AND HOT WATER SUPPLY",0.07,0,0.32,0,0.14,0,0,0.02,0.01,0.55
27,41,"COLLECTION, PURIFICATION AND DISTRIBUTION OF WATER",0.01,0,0,0,0.1,0,0,0.02,0,0.13
28,45,CONSTRUCTION,0.13,0,0.01,0,0.03,0,0,0,0.11,0.28
29,50,"SALE, MAINTENANCE AND REPAIR OF MOTOR VEHICLES AND MOTORCYCLES; RETAIL SALE OF AUTOMOTIVE FUEL",4.03,0.03,0.39,0.11,7.35,0.02,0.02,0.24,0.16,12.34
30,52,"RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES; REPAIR OF PERSONAL AND HOUSEHOLD GOODS.",14.64,0.11,0.52,0.08,13.62,0.07,0.09,0.47,0.47,30.06
31,63,"SUPPORTING AND AUXILIARY TRANSPORT ACTIVITIES; ACTIVITIES OF TRAVEL AGENCIES",0,0,0,0,0.02,0,0,0,0,0.02
32,64,"POST AND TELECOMMUNICATIONS",2.06,0.02,0.06,0,5.79,0.03,0,0.16,0.09,8.21
33,70,"REAL ESTATE ACTIVITIES",0.08,0,0,0,0.21,0,0,0.01,0.01,0.31
34,71,"RENTING OF AMCHINERY AND EQUIPMENT WITHOUT OPERATOR AND OF PERSONAL AND HOUSEHOLD GOODS",0.66,0,0.19,0.01,0.77,0.01,0.01,0.03,0.08,1.77
35,72,"COMPUTER AND RELATED ACTIVITIES",0.74,0.01,0.03,0.01,3.46,0,0,0.02,0.05,4.33
36,73,"RESEARCH AND DEVELOPMENT",0,0,0,0,0,0,0,0,0,0
37,74,"OTHER BUSINESS ACTIVITIES",2.79,0.07,0.36,0.04,9.02,0.02,0.03,0.23,0.12,12.69
38,92,"RECREATIONAL, CULTURAL AND SPORTING ACTIVITIES",0.11,0.01,0.01,0,0.97,0,0,0.05,0.04,1.19
39,93,"OTHER SERVICE ACTIVITIES",10.09,0.62,0.07,0.01,10.57,0.11,0.15,0.33,0.38,22.34
NA,NA,Total,76.68,3.57,10.52,1.18,95.73,0.57,3.88,3.66,2.95,198.74
