LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
29,KARNATAKA,631,RAMANAGARA,562160.0,13/12/2021,"Nagesh S M","Shettihalli, Shettihalli, Shettihalli Malur Hobali, Shettihalli, Shettihalli Malur Hobali, Channapatna","[{""NIC5DigitId"":""52294"",""Description"":""Weighing of goods""}]"
27,MAHARASHTRA,472,BULDHANA,443104.0,13/12/2021,"AMBIKA ELECTRICALS AND GENERAL STORES","0, NEAR GRAMPANCHAYAT OFFICE, MIRAVNUK ROAD, 0, MOTALA, DHAMANGAON BADHE","[{""NIC5DigitId"":""47599"",""Description"":""Retail sale of other household appliances n.e.c. ( security systems, such as locking devices, safes, and vaults, without installation or maintenance services etc. , wooden, cork and wickerwork goods, sewing and knitting machine and other household utensils and durables n.e.c.)""}]"
6,HARYANA,73,ROHTAK,124001.0,13/12/2021,"Heroes Taekwondo Club","H.no 2822/31, Ambedkar Colony, Kanheli Road, H.no 2822/31, Rohtak, Rohtak","[{""NIC5DigitId"":""93120"",""Description"":""Activities of sports clubs""}]"
10,BIHAR,192,BHAGALPUR,813108.0,13/12/2021,"Ajit Raj Grahak seva kendra","11, Ajit Raj, Gram, sukhsarovar, post , shah, 11, Shahkund, Bhagalpur","[{""NIC5DigitId"":""63999"",""Description"":""Other information service activities n.e.c.""}]"
8,RAJASTHAN,88,BANSWARA,327001.0,13/12/2021,"ANIKET PETROLEUMS","PADIKALA, NH-113, DAHOD ROAD, PADIKALA, NH-113, BANSWARA","[{""NIC5DigitId"":""47300"",""Description"":""Retail sale of automotive fuel in specialized stores [includes the activity of petrol filling stations.""}]"
27,MAHARASHTRA,483,"MUMBAI SUBURBAN",400054.0,13/12/2021,"Siska your Beauty secret","SHOP NO.5,6, 2nd Pioneer Heritage,BEHIND SANE GURUJI SCHOOL, OFF S.V.ROAD,, SHOP NO.5,6, 0, MUMBAI","[{""NIC5DigitId"":""74909"",""Description"":""Other professional, scientific and technical activities n.e.c.""},{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
8,RAJASTHAN,107,JODHPUR,342604.0,13/12/2021,"MAHADEV JEWELLERS","DUKAN, sr sec school ke samne, borunda, DUKAN, pipar, borunda","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""}]"
9,"UTTAR PRADESH",169,MEERUT,250002.0,13/12/2021,"PUNJABI KIRANA STORE","682/50, PUNJABI KIRANA STORE, SABUN GODAM, 682/50, UTTAM NAGAR, MEERUT","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""},{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""},{""NIC5DigitId"":""47222"",""Description"":""Retail sale of non-alcoholic beverages including icecream not for consumption on the premises""}]"
33,"TAMIL NADU",584,SALEM,636008.0,13/12/2021,"KESAVAN C","BLOCK NO 37, TSR 30/1, QUEEN CIRCLE, BLOCK NO 37, CHINNASAMY STREET III CROSS, 636008","[{""NIC5DigitId"":""10611"",""Description"":""Flour milling""}]"
18,ASSAM,280,BARPETA,781328.0,13/12/2021,"SUFIN NET TRAVEL","N/A, Garh Bazar Committee Building, Paschim Rehabari Road, N/A, N/A, Baghmara Bazar","[{""NIC5DigitId"":""63121"",""Description"":""Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format""},{""NIC5DigitId"":""65120"",""Description"":""Non-life insurance""},{""NIC5DigitId"":""73100"",""Description"":""Advertising""},{""NIC5DigitId"":""79110"",""Description"":""Travel agency activities""}]"
27,MAHARASHTRA,497,THANE,421204.0,13/12/2021,"LNT RESTAURANT","LNT RESTAURANT, KHONI GAON, TALOJA MIDC ROAD, LNT RESTAURANT, KHONI, NR HP PETROL PUMP KALYAN","[{""NIC5DigitId"":""56102"",""Description"":""Cafeterias, fast-food restaurants and other food preparation in market stalls""}]"
27,MAHARASHTRA,665,PALGHAR,401203.0,13/12/2021,"TECH WIZARD SYSTEMS","B-304, TANISHK CO-OP HSG SOC LTD, NALLASOPARA EAST, B-304, NALLASOPARA, NALLASOPARA","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""},{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
27,MAHARASHTRA,487,NASHIK,422205.0,13/12/2021,"UDAY NURSERY","0, KHEDGAON, GONDEGAON ROAD, 0, NASHIK, TAL- DINDORI","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""},{""NIC5DigitId"":""46205"",""Description"":""Wholesale of flowers and plants""},{""NIC5DigitId"":""01640"",""Description"":""Seed processing for propagation""}]"
27,MAHARASHTRA,467,AKOLA,444107.0,13/12/2021,"SABOO XEROX AND STATIONARY","SHIVAJI MAHARAJ, CHOUK, MURTIZAPUR, SHIVAJI MAHARAJ, MURTIZAPUR, MURTIZAPUR","[{""NIC5DigitId"":""17093"",""Description"":""Manufacture of printing, writing and photocopying paper ready for use""}]"
23,"MADHYA PRADESH",411,JABALPUR,482002.0,13/12/2021,"MARBLE ROCK SPICY","1095/3, 0, 0, 1095/3, 0, JABALPUR","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
28,"ANDHRA PRADESH",510,KRISHNA,520007.0,13/12/2021,"VINAYAKA TISSUE WORKS","36, Ahmed complex, Near masjid, 36, C02, Vijayawada","[{""NIC5DigitId"":""17099"",""Description"":""Manufacture of other paper products n.e.c.""}]"
24,GUJARAT,446,GANDHINAGAR,382021.0,13/12/2021,"GANESH AOTU GARAGE","845,VISHVKARMA, SHOPING CENTER, SECTOR-21, 845,VISHVKARMA, GANDHINAGAR, GANDHINAGAR","[{""NIC5DigitId"":""33150"",""Description"":""Repair of transport equipment, except motor vehicles""}]"
28,"ANDHRA PRADESH",506,GUNTUR,522503.0,13/12/2021,"SRI LAKSHMI FANCY AND GENERAL STORES","10-224, CINEMA HALL CENTER, MAIN ROAD, 10-224, YERRABALEM, MANGALAGIRI","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
33,"TAMIL NADU",586,THANJAVUR,614625.0,13/12/2021,"Elankathir xerox","816, Senthil complex, Oththai street, 816, Orathanadu, Thanjavur","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
29,KARNATAKA,536,DHARWAD,580021.0,13/12/2021,"SHRI SHANTAVEERESHWAR POOJA SAMAGREE","00, NEAR SHIV MANDIR, VIDYA NAGAR, 00, 00, HUBLI","[{""NIC5DigitId"":""96096"",""Description"":""Astrological and spiritualists’ activities""}]"
27,MAHARASHTRA,665,PALGHAR,401209.0,13/12/2021,"SAGIR ENTERPRISES","H. NO. 6173, LAXMI CHAWL,OPPOSITE, DHANIV BAUG NAKA, H. NO. 6173, GAONTHAN PADA, NALLASOPARA EAST","[{""NIC5DigitId"":""14101"",""Description"":""Manufacture of all types of textile garments and clothing accessories""}]"
9,"UTTAR PRADESH",179,BHADOHI,221304.0,13/12/2021,"OM INFOTECH","8, Gandhi Ashram Gali, Near Harihar Nath Mandir, 8, Gyanpur, Sant Ravidas Nagar","[{""NIC5DigitId"":""63992"",""Description"":""Activities of cyber café""}]"
27,MAHARASHTRA,482,"MUMBAI ",400003.0,13/12/2021,"BARKAT NOORANI","ROOM NO.4, 1ST FLOOR, TWO TANK, ROOM NO.4, M.S.ALI ROAD, MUMBAI","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
32,KERALA,562,MALAPPURAM,673634.0,13/12/2021,"M/S YELKY POLYMERS","5/226, 0, NEAR HOTEL LE MOSHE INN, 5/226, KONDOTTY, CHELEMBRA","[{""NIC5DigitId"":""15209"",""Description"":""Manufacture of other footwear n.e.c.""}]"
21,ODISHA,362,KHORDHA,751029.0,13/12/2021,"H M ENTERPRISES","785/1318/1465, MAHALAXMI VIHAR, NEAR AYURVEDIC HOSPITAL, 785/1318/1465, BHUBANESWAR, BHUBANESWAR","[{""NIC5DigitId"":""10795"",""Description"":""Grinding and processing of spices""},{""NIC5DigitId"":""13929"",""Description"":""Manufacture of other made-up textile articles, except apparel n.e.c.""}]"
8,RAJASTHAN,87,ALWAR,301404.0,13/12/2021,"NIDHI PG HOUSE","WARD NO 13, KUSHI NIVAS, MATOR ROAD, WARD NO 13, WARD NO 13, KHAIRTHAL","[{""NIC5DigitId"":""55109"",""Description"":""Provision of short stay accommodation n.e.c. (e.g. holiday homes, private guest houses etc.)""}]"
8,RAJASTHAN,92,BHILWARA,311001.0,13/12/2021,"Crockery Disposal Item selling","WARD NO. 51`, DEV NRAYANMANDIR KE PASS, DEV NARAYAN MANDIR KE PASS, WARD NO. 51`, BHILWARA, BHILWARA","[{""NIC5DigitId"":""46492"",""Description"":""Wholesale of metal, porcelain and glass utensils; crockery and chinaware""}]"
10,BIHAR,206,MADHUBANI,847308.0,13/12/2021,"Shree Laxmi Traders","WARD NO-11, NEAR OF PETROL PUMP, SAHARGHAT BASABARIYA, WARD NO-11, MADHWAPUR, MADHUBANI","[{""NIC5DigitId"":""23952"",""Description"":""Manufacture of articles articles of concrete, cement or artificial stone (tiles, bricks etc.)""},{""NIC5DigitId"":""23955"",""Description"":""Manufacture of hume pipes and other pre-fabricated structural components of cement and\/or concrete for building or civil engineering""},{""NIC5DigitId"":""23959"",""Description"":""Manufacture of other cement and asbestos cement products n.e.c.""}]"
3,PUNJAB,36,LUDHIANA,142022.0,13/12/2021,"RAHUL CONSTRUCTION CO.","75-A, SARABHA NAGAR EXT, PAKHOWAL ROAD, 75-A, ., LUDHIANA","[{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""}]"
7,DELHI,83,"SOUTH ",110048.0,13/12/2021,"M/S NSA CHAMBERS","M-11, Greater, Greater Kailash, M-11, GK-1, Delhi","[{""NIC5DigitId"":""69100"",""Description"":""Legal activities""}]"
9,"UTTAR PRADESH",125,BAHRAICH,271801.0,13/12/2021,MARKETING,"Gulam ali pura, Shukla Bhawan, Gulam ali pura near dargah rai, Gulam ali pura, Bahraich, Bahraich","[{""NIC5DigitId"":""81100"",""Description"":""Combined facilities support activities""}]"
10,BIHAR,201,KATIHAR,855113.0,13/12/2021,"Asif online centere","Kadwa, Pachgachhi, Salmari to jhauwa, Kadwa, Kadwa, Salmari","[{""NIC5DigitId"":""62099"",""Description"":""Other information technology and computer service activities n.e.c""}]"
29,KARNATAKA,550,"UTTAR KANNAD",581314.0,13/12/2021,"NAGEENA SAYED SADIQUE","NAGEENA SAYED SADIQU, 1145, SHEDGERI, NAGEENA SAYED SADIQU, ., ANKOLA","[{""NIC5DigitId"":""14101"",""Description"":""Manufacture of all types of textile garments and clothing accessories""}]"
27,MAHARASHTRA,480,KOLHAPUR,416109.0,13/12/2021,"Kanhaiyaram Labour Supplier","3132/0, Shahunagar, Shahunagar, 3132/0, Hatkanangale, Hatkanangale","[{""NIC5DigitId"":""78300"",""Description"":""Human resources provision and management of human resources functions""}]"
29,KARNATAKA,528,BALLARI,583132.0,13/12/2021,"Hareesh Ayodhi law Firm","4, Yankareddy  Building, Kotal Road, 4, 2, Kampli","[{""NIC5DigitId"":""69100"",""Description"":""Legal activities""}]"
6,HARYANA,73,ROHTAK,124001.0,13/12/2021,"V K ENTERPRISES","34/29, CHANKYA PURI, SONIPAT ROAD, 34/29, SONIPAT ROAD, ROHTAK","[{""NIC5DigitId"":""46633"",""Description"":""Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers, saws, screwdrivers and other hand tools""}]"
8,RAJASTHAN,87,ALWAR,301001.0,13/12/2021,"Smart general store","Shop no 24, Apna ghar shalimar, Shalimar, Shop no 24, Shalimar, Alwar","[{""NIC5DigitId"":""47215"",""Description"":""Retail sale of sugar confectionery and sweetmeat""}]"
33,"TAMIL NADU",573,ERODE,638506.0,13/12/2021,"RAJAMMAL HOTEL","295, PUNJAITHURAIPALAYAM, PUNJAITHURAIPALAYAM, 295, GOBICHETTIPALAYAM, GOBICHETTIPALAYAM","[{""NIC5DigitId"":""56102"",""Description"":""Cafeterias, fast-food restaurants and other food preparation in market stalls""}]"
19,"WEST BENGAL",321,PURULIA,723103.0,13/12/2021,"AKASH AUTO CENTRE","SINDRI CHAR ROAD, SINDRI CHAR ROAD, SINDRI CHAR ROAD, SINDRI CHAR ROAD, SINDRI CHAR ROAD, PRULIA","[{""NIC5DigitId"":""33129"",""Description"":""Repair and maintenance of other special purpose machinery of division 28 (weighing equipment, vending machines, cash registers, photocopy machines, calculators, typewriters etc.)""}]"
10,BIHAR,216,SAHARSA,852106.0,13/12/2021,"Shayar Mobile Shop","Simribakhtiyar Pur76, Simribakhtiyar Pur, Saharsa Sitanabad, Simribakhtiyar Pur76, Simribakhtiyar Pur, Saharsa","[{""NIC5DigitId"":""96094"",""Description"":""Coin-operated personal service machines such as photo booths, weighing machines, blood pressure checking machines etc.""}]"
33,"TAMIL NADU",592,TIRUNELVELI,627423.0,13/12/2021,"MSR STORE","2/111 A, MSR BUILDING, MAIN ROAD, 2/111 A, KADAYAM, TENKASI","[{""NIC5DigitId"":""88900"",""Description"":""Other social work activities without accommodation n.e.c.""}]"
19,"WEST BENGAL",313,HOWRAH,711204.0,13/12/2021,"MA SWARNALATA GRILL CENTER","232/10 - B/1, CHAKPARA, LILUAH, 232/10 - B/1, ,, HOWRAH","[{""NIC5DigitId"":""24109"",""Description"":""Manufacture of other basic iron and steel n.e.c""},{""NIC5DigitId"":""24311"",""Description"":""Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron\/ cast-steel""},{""NIC5DigitId"":""24319"",""Description"":""Manufacture of other iron and steel casting and products thereof""}]"
6,HARYANA,73,ROHTAK,124001.0,13/12/2021,"Kartik Traders","H. No. 404- B, Jindal Bhawan, Janta Colony, H. No. 404- B, Rohtak, Rohtak","[{""NIC5DigitId"":""46413"",""Description"":""Wholesale of footwear""}]"
27,MAHARASHTRA,497,THANE,421601.0,13/12/2021,"S S GOAT FARM","H NO 854, DHASAI SARANGPURI ROAD, SHAHAPUR SHENVA ROAD, H NO 854, DHASAI, SHAHAPUR","[{""NIC5DigitId"":""10109"",""Description"":""Production, processing and preserving of other meat and meat products n.e.c.""}]"
33,"TAMIL NADU",575,KANNIYAKUMARI,629252.0,13/12/2021,"EVERGREEN TAILORS","EVERGREEN TAILORS, FIRST FLOOR, KALKULAM, EVERGREEN TAILORS, MONDAIKAD, MONDAIKAD","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
27,MAHARASHTRA,472,BULDHANA,444303.0,13/12/2021,"PANCHSHIL BANIYAN CENTER","MAIN ROAD, KHAMGAON, KHAMGAON, MAIN ROAD, KHAMGAON, KHAMGAON","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""}]"
5,UTTARAKHAND,49,DEHRADUN,248001.0,13/12/2021,"UTTARANCHAL SUPPLIERS","255, indira nagar, indira nagar colony, 255, 255, dehradun","[{""NIC5DigitId"":""49224"",""Description"":""Taxi operation""},{""NIC5DigitId"":""77100"",""Description"":""Renting and leasing of motor vehicles""},{""NIC5DigitId"":""79110"",""Description"":""Travel agency activities""},{""NIC5DigitId"":""79120"",""Description"":""Tour operator activities""}]"
27,MAHARASHTRA,469,AURANGABAD,431117.0,13/12/2021,"DIPAK TARACHAND BAVASKAR","253, near grampanchyat karyalay, AT ANAD POST AJINTHA TQ SILLOD, 253, anad, ajintha","[{""NIC5DigitId"":""63992"",""Description"":""Activities of cyber café""}]"
27,MAHARASHTRA,482,"MUMBAI ",400017.0,13/12/2021,ZAINTO,"GROUND FLOOR, PLOT-144, ASHOK MILL COMPOUND, KALA KILLA, DHARAVI, GROUND FLOOR, SANT ROHIDAS MARG, MUMBAI","[{""NIC5DigitId"":""15122"",""Description"":""Manufacture of purse, ladies' handbags, artistic leather presented articles and novelties""}]"
27,MAHARASHTRA,484,NAGPUR,440025.0,13/12/2021,"SHREE LAXMI DAIRY","PLOT NO. 01, COSOMOPOLITAN SOCIETY,UJWAL NAGAR, WARDHA ROAD, PLOT NO. 01, ., NAGPUR","[{""NIC5DigitId"":""47214"",""Description"":""Retail sale of bakery products, dairy products and eggs""},{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
23,"MADHYA PRADESH",403,DHAR,454001.0,13/12/2021,"SHRI RAVI SHARMA","169, Chaupati Road Village Kanwan Kanvan Dhar, Chaupati Road Village Kanwan, 169, Chaupati Road Village Kanwan, badnawar","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
33,"TAMIL NADU",578,MADURAI,625107.0,13/12/2021,"DEVI  COMPUTERS","3/865B, RENGARAJ VALAGAM, MELUR MAIN ROAD, 3/865B, MADURAI EAST, MADURAI","[{""NIC5DigitId"":""95111"",""Description"":""Repair and maintenance of computer and peripheral equipment""}]"
9,"UTTAR PRADESH",144,"GAUTAM BUDDHA NAGAR",201301.0,13/12/2021,"Tea Chariot","B, 198, Block - B, B, Block - B, Noida","[{""NIC5DigitId"":""10791"",""Description"":""Processing and blending of tea including manufacture of instant tea""}]"
8,RAJASTHAN,102,JAIPUR,302029.0,15/06/2022,"Lakshita fashion","Plot no. 39A, ., Braj vihar colony hajyawala, Plot no. 39A, ., Jaipur","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""}]"
33,"TAMIL NADU",575,KANNIYAKUMARI,629154.0,15/06/2022,"SUJIN GOPINATHAN CHANDRAMATHY","9/8, KOLLAL, 1st Street, 9/8, VILAVANCODE, KANJAMPURAM POST","[{""NIC5DigitId"":""63999"",""Description"":""Other information service activities n.e.c.""}]"
27,MAHARASHTRA,483,"MUMBAI SUBURBAN",400077.0,15/06/2022,"VIJAY VADAPAV CENTER","D-26, Hari Om Chawl No. 104, V.N. Road, D-26, Kamraj nagar, Ghatkopar East","[{""NIC5DigitId"":""56292"",""Description"":""Operation of canteens or (e.g. for factories, offices, hospitals or schools) on a concession basis""}]"
27,MAHARASHTRA,469,AURANGABAD,431001.0,15/06/2022,"CHAVAN ENTERPRISES","BANJARA COLONY, BAHADURPURA, AURANGABAD, BANJARA COLONY, AURANGABAD, AURANGABAD","[{""NIC5DigitId"":""74909"",""Description"":""Other professional, scientific and technical activities n.e.c.""}]"
24,GUJARAT,438,AHMADABAD,382440.0,15/06/2022,"D S FOLDING WORKS","A 1 24, OM SHANTI NAGAR 2, VATVA AHMEDABAD, A 1 24, A 1 24, AHMEDABAD","[{""NIC5DigitId"":""15115"",""Description"":""Finishing of upper leather, lining leather and garment leather etc.""}]"
27,MAHARASHTRA,487,NASHIK,422013.0,15/06/2022,"RUTUJA AGENCY","FLAT NO . 7 / 9, SHIVGANGA APPARTMENT, GANGAPUR ROAD, FLAT NO . 7 / 9, NEAR UNIQUE ACADEMY, NASHIK","[{""NIC5DigitId"":""46610"",""Description"":""Wholesale of solid, liquid and gaseous fuels and related products""}]"
27,MAHARASHTRA,483,"MUMBAI SUBURBAN",400043.0,15/06/2022,"RUKSANA RETI CEMENT","FAIZANE RAZA MASJID, INDIRA NAGAR, RAOD NO 14, FAIZANE RAZA MASJID, BAIGANWADI GOVANDI, MUMBAI","[{""NIC5DigitId"":""23949"",""Description"":""Manufacture of other cement and plaster n.e.c.""}]"
7,DELHI,78,EAST,110032.0,15/06/2022,"ARUN GRAPHICS","145, DDA FLAT, SHAHDARA, 145, D, DELHI","[{""NIC5DigitId"":""74103"",""Description"":""Services of graphic designers""}]"
24,GUJARAT,449,KACHCHH,370110.0,15/06/2022,"Patanjali Mall","4, Patanjali mall, Chitrakut circle, 4, 4, Anjar","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
27,MAHARASHTRA,466,AHMEDNAGAR,414003.0,15/06/2022,"FULARI ASSOCIATES","FP 4 CTS 100/11, CHAITANYA, SAVEDI BALIKASHRAM ROAD, FP 4 CTS 100/11, FULARI MALA, SAVEDI","[{""NIC5DigitId"":""68100"",""Description"":""Real estate activities with own or leased property""},{""NIC5DigitId"":""68200"",""Description"":""Real estate activities on a fee or contract basis""},{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""}]"
27,MAHARASHTRA,483,"MUMBAI SUBURBAN",400065.0,15/06/2022,"ANUVIN INFRA","PLOT NO 21, FLAT NO 704 B WING 7TH FLOOR, GREEN VIEW APARTMENT, PLOT NO 21, P SOUTH, MUMBAI","[{""NIC5DigitId"":""86100"",""Description"":""Hospital activities""},{""NIC5DigitId"":""41002"",""Description"":""Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis""}]"
21,ODISHA,344,ANGUL,759022.0,15/06/2022,"M/S BALUKESWAR SAHOO","AT-RAJMOHANPUR, RAJMOHANPUR, PO-HINDOL, AT-RAJMOHANPUR, HINDOL, DHENKANAL","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""},{""NIC5DigitId"":""42204"",""Description"":""Construction and maintenance of water main and line connection, water reservoirs including irrigation system (canal)""},{""NIC5DigitId"":""42209"",""Description"":""Construction of utility projects n.e.c.""},{""NIC5DigitId"":""42902"",""Description"":""Construction of waterways, harbours and river works, dredging of waterways""},{""NIC5DigitId"":""42903"",""Description"":""Construction of dams etc.""},{""NIC5DigitId"":""42909"",""Description"":""Other civil engineering projects n.e.c.""},{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""},{""NIC5DigitId"":""42101"",""Description"":""Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways""}]"
33,"TAMIL NADU",592,TIRUNELVELI,627007.0,15/06/2022,"POORNA HOME PRODUCTS","2/107, GURU SAI ILLAM, PILLAIYAR KOVIL STREET, 2/107, REDDIYARPATTI, TIRUNELVELI","[{""NIC5DigitId"":""10612"",""Description"":""Rice milling""},{""NIC5DigitId"":""10618"",""Description"":""Manufacture of other readymade mixed powders like idli, gulabjamun etc.""}]"
9,"UTTAR PRADESH",661,HAPUR,245201.0,15/06/2022,"Mathematics Coaching Center","148, Police choki wali gali, Railway Road Kuchesar Road, 148, Hapur, Kuchesar Road Choupla","[{""NIC5DigitId"":""85212"",""Description"":""General school education in the second stage of the secondary level (Senior\/ Higher secondary) giving, in principle, access to higher education""}]"
32,KERALA,562,MALAPPURAM,676507.0,15/06/2022,"M/S SAMRUDDHAM KUDUMBASREE UNIT","8/CHANTHAPPADI, SAMRUDHAM NUTRIMIX, PANG, 8/CHANTHAPPADI, MANKADA, PADAPPARAMBU","[{""NIC5DigitId"":""10616"",""Description"":""Manufacture of cereal breakfast foods obtained by roasting or swelling cereal grains""}]"
27,MAHARASHTRA,480,KOLHAPUR,416501.0,15/06/2022,"SHREE TRANSPORT","631, DEEPAK PANDURANG SHENDAGE, DUNDAGE ROAD, 631, NEAR SHINDE OIL MILL, GADHINGLAJ","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
27,MAHARASHTRA,493,SANGLI,416436.0,15/06/2022,"SHOURYA TRADING CO.","PLOT NO. 24, GAT NO. 202/1A, CHITNYA NAGAR BAMNOLI ROAD, PLOT NO. 24, NA, KUPWAD","[{""NIC5DigitId"":""10799"",""Description"":""Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)""}]"
